,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (30)",,"1,97m",right,€300k,2013
1,Vladimir Loginovskiy,FC Astana,Goalkeeper,85,"Oct 8, 1985 (27)",,"1,93m",right,€100k,2013
2,Denis Tolebaev,FC Astana,Goalkeeper,24,"Feb 7, 1987 (25)",,"2,05m",right,€25k,2013
3,Adil Zhakipbaev,FC Astana,Defender,-,"Nov 23, 1994 (18)",,"1,72m",,-,2013
4,Zelão,FC Astana,Centre-Back,26,"Nov 12, 1984 (28)",,"1,88m",right,€2.50m,2013
5,Evgeniy Postnikov,FC Astana,Centre-Back,44,"Apr 16, 1986 (26)",,"1,89m",right,€500k,2013
6,Marin Anicic,FC Astana,Centre-Back,5,"Aug 17, 1989 (23)",,"1,92m",left,€450k,2013
7,Viktor Dmitrenko,FC Astana,Centre-Back,4,"Apr 4, 1991 (21)",,"1,90m",right,€350k,2013
8,Kairat Nurdauletov,FC Astana,Centre-Back,6,"Nov 6, 1982 (30)",,"1,84m",right,€250k,2013
9,Aleksandr Kirov,FC Astana,Centre-Back,-,"Sep 4, 1984 (28)",,"1,88m",right,€150k,2013
10,Kirill Pasichnik,FC Astana,Centre-Back,-,"May 24, 1993 (19)",,"1,97m",right,-,2013
11,Eldos Akhmetov,FC Astana,Centre-Back,2,"Jun 1, 1990 (22)",,"1,87m",right,-,2013
12,Birzhan Kulbekov,FC Astana,Centre-Back,94,"Apr 22, 1994 (18)",,"1,90m",right,-,2013
13,Blazo Igumanovic,FC Astana,Left-Back,-,"Jan 19, 1986 (26)",,"1,77m",left,€900k,2013
14,Dmitriy Shomko,FC Astana,Left-Back,77,"Mar 19, 1990 (22)",,"1,85m",left,€200k,2013
15,Evgeniy Goryachiy,FC Astana,Left-Back,16,"Feb 2, 1991 (21)",,"1,86m",left,€50k,2013
16,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (20)",,"1,87m",right,€50k,2013
17,Pavel Khalezov,FC Astana,Right-Back,55,"Aug 10, 1994 (18)",,"1,80m",right,-,2013
18,Róger Cañas,FC Astana,Defensive Midfield,88,"Mar 27, 1990 (22)",,"1,90m",right,€300k,2013
19,Valeriy Korobkin,FC Astana,Defensive Midfield,-,"Jul 2, 1984 (28)",,"1,85m",right,€250k,2013
20,Islambek Kuat,FC Astana,Defensive Midfield,23,"Jan 12, 1993 (19)",,"1,79m",right,€25k,2013
21,Igor Pikalkin,FC Astana,Defensive Midfield,12,"Mar 19, 1992 (20)",,"1,82m",right,-,2013
22,Azat Smagulov,FC Astana,Midfielder,31,"Jul 31, 1992 (20)",,"1,74m",,-,2013
23,Marat Shakhmetov,FC Astana,Central Midfield,8,"Feb 6, 1989 (23)",,"1,82m",right,€300k,2013
24,Guy Stephane Essamé,FC Astana,Central Midfield,25,"Nov 25, 1984 (28)",,"1,80m",right,€300k,2013
25,Georgiy Zhukov,FC Astana,Central Midfield,19,"Nov 19, 1994 (18)",,"1,72m",right,€50k,2013
26,Rinat Khayrullin,FC Astana,Central Midfield,32,"Feb 19, 1994 (18)",,"1,73m",left,-,2013
