,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Andrey Sidelnikov,FK Aktobe,Goalkeeper,55,"Mar 8, 1980 (29)",,"1,90m",right,€150k,2010
1,Sergey Boychenko,FK Aktobe,Goalkeeper,29,"Sep 27, 1977 (32)",,"1,98m",right,€50k,2010
2,Arslan Satubaldin,FK Aktobe,Goalkeeper,1,"Aug 11, 1984 (25)",,"1,93m",right,-,2010
3,Khalifa Ba,FK Aktobe,Centre-Back,-,"Oct 12, 1985 (24)",,"1,88m",right,€50k,2010
4,Robert Primus,FK Aktobe,Centre-Back,21,"Nov 10, 1990 (19)",,"1,91m",right,€50k,2010
5,Evgeni Azamatov,FK Aktobe,Centre-Back,4,"Mar 21, 1990 (19)",,"1,87m",right,-,2010
6,Maksim Semenov,FK Aktobe,Centre-Back,25,"Sep 2, 1988 (21)",,"1,80m",right,-,2010
7,Emil Kenzhisariev,FK Aktobe,Left-Back,20,"Mar 26, 1987 (22)",,"1,75m",left,€250k,2010
8,Timur Dosmagambetov,FK Aktobe,Left-Back,-,"May 1, 1989 (20)",,"1,72m",left,-,2010
9,Yuri Mokrousov,FK Aktobe,Left-Back,12,"Apr 21, 1989 (20)",,"1,83m",left,-,2010
10,Anton Chichulin,FK Aktobe,Right-Back,6,"Oct 27, 1984 (25)",,"1,82m",right,€100k,2010
11,Daniyar Mukanov,FK Aktobe,Right-Back,18,"Sep 26, 1976 (33)",,"1,79m",right,€100k,2010
12,Dmitriy Miroshnichenko,FK Aktobe,Right-Back,-,"Feb 26, 1992 (17)",,"1,83m",right,-,2010
13,Petr Badlo,FK Aktobe,Right-Back,5,"May 24, 1976 (33)",,"1,78m",right,-,2010
14,Samat Smakov,FK Aktobe,Defensive Midfield,8,"Dec 8, 1978 (31)",,"1,82m",both,€600k,2010
15,Andrey Karpovich,FK Aktobe,Defensive Midfield,-,"Jan 18, 1981 (28)",,"1,77m",both,€350k,2010
16,Yuriy Logvinenko,FK Aktobe,Defensive Midfield,23,"Jul 22, 1988 (21)",,"1,87m",left,€200k,2010
17,Alain Bono,FK Aktobe,Central Midfield,17,"Dec 19, 1983 (26)",,"1,78m",right,€275k,2010
18,Konstantin Golovskoy,FK Aktobe,Central Midfield,-,"Apr 25, 1975 (34)",,"1,86m",right,€50k,2010
19,Aslan Darabaev,FK Aktobe,Central Midfield,14,"Jan 21, 1989 (20)",,"1,79m",right,-,2010
20,Darko Maletic,FK Aktobe,Right Midfield,32,"Oct 20, 1980 (29)",,"1,76m",right,€300k,2010
21,Evgeniy Averchenko,FK Aktobe,Right Midfield,30,"Apr 6, 1982 (27)",,"1,72m",right,€150k,2010
22,Zoran Kostic,FK Aktobe,Attacking Midfield,70,"Nov 14, 1982 (27)",,"1,80m",right,€350k,2010
23,Ruslan Sakhalbaev,FK Aktobe,Attacking Midfield,7,"Jun 27, 1984 (25)",,"1,68m",right,€50k,2010
24,Juan José Bezares,FK Aktobe,Attacking Midfield,24,"May 17, 1981 (28)",,"1,75m",right,-,2010
25,Akzhol Serikzhanov,FK Aktobe,Attacking Midfield,-,"May 6, 1990 (19)",,"1,75m",right,-,2010
26,Nikita Khokhlov,FK Aktobe,Attacking Midfield,9,"Oct 27, 1983 (26)",,"1,82m",both,-,2010
