,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Sergey Boychenko,Kairat-Almaty KTZ,Goalkeeper,-,"Sep 27, 1977 (25)",,"1,98m",right,-,2003
1,Evgeniy Naboychenko,Kairat-Almaty KTZ,Goalkeeper,-,"May 17, 1970 (32)",,"1,81m",,-,2003
2,Ilya Yurov,Kairat-Almaty KTZ,Goalkeeper,-,"Sep 10, 1981 (21)",,"1,88m",right,-,2003
3,Sergey Kutsov,Kairat-Almaty KTZ,Centre-Back,-,"Apr 23, 1977 (25)",,"1,91m",right,-,2003
4,Vitaliy Artemov,Kairat-Almaty KTZ,Centre-Back,-,"Feb 16, 1979 (23)",,"1,92m",both,-,2003
5,Renat Abdulin,Kairat-Almaty KTZ,Centre-Back,-,"Apr 14, 1982 (20)",,"1,85m",right,-,2003
6,Valeriy Likhobabenko,Kairat-Almaty KTZ,Centre-Back,-,"Feb 17, 1976 (26)",,"1,83m",left,-,2003
7,Oleg Musin,Kairat-Almaty KTZ,Left-Back,-,"Jan 12, 1975 (27)",,"1,76m",left,-,2003
8,Yuriy Aksenov,Kairat-Almaty KTZ,Left-Back,-,"Aug 11, 1973 (29)",,"1,74m",,-,2003
9,Vojkan Kuzmanovic,Kairat-Almaty KTZ,Left-Back,-,"Jul 23, 1974 (28)",,"1,82m",,-,2003
10,Kairat Utabaev,Kairat-Almaty KTZ,Right-Back,-,"Jul 16, 1980 (22)",,"1,82m",both,-,2003
11,Dmitri Protorchin,Kairat-Almaty KTZ,Right-Back,-,"Jul 2, 1978 (24)",,"1,78m",right,-,2003
12,Andrey Karpovich,Kairat-Almaty KTZ,Defensive Midfield,-,"Jan 18, 1981 (21)",,"1,77m",both,-,2003
13,Samat Smakov,Kairat-Almaty KTZ,Defensive Midfield,-,"Dec 8, 1978 (24)",,"1,82m",both,-,2003
14,Evgeniy Lovchev,Kairat-Almaty KTZ,Right Midfield,-,"Aug 6, 1975 (27)",,"1,79m",right,-,2003
15,Ali Aliev,Kairat-Almaty KTZ,Left Midfield,-,"Oct 27, 1980 (22)",,"1,75m",left,-,2003
16,Ashkat Kadyrkulov,Kairat-Almaty KTZ,Left Midfield,-,"Nov 14, 1974 (28)",,"1,78m",,-,2003
17,Andrey Bogomolov,Kairat-Almaty KTZ,Attacking Midfield,-,"Apr 11, 1977 (25)",,"1,83m",right,-,2003
18,Arsen Tlekhugov,Kairat-Almaty KTZ,Centre-Forward,-,"Nov 3, 1976 (26)",,"1,82m",both,-,2003
19,Ulugbek Asanbaev,Kairat-Almaty KTZ,Centre-Forward,-,"Sep 13, 1979 (23)",,"1,83m",,-,2003
20,Jafar Irismetov,Kairat-Almaty KTZ,Centre-Forward,-,"Aug 23, 1976 (26)",,"1,73m",right,-,2003
21,Alibek Buleshev,Kairat-Almaty KTZ,Centre-Forward,-,"Apr 9, 1981 (21)",,"1,75m",right,-,2003
22,Dauren Kusainov,Kairat-Almaty KTZ,Centre-Forward,-,"Apr 10, 1984 (18)",,"1,82m",right,-,2003
23,Avkhat Mingachev,Kairat-Almaty KTZ,Striker,-,"Feb 11, 1975 (27)",,"1,76m",,-,2003
24,Oleg Tarasov,Kairat-Almaty KTZ,Striker,-,"Jan 9, 1982 (20)",,"1,78m",,-,2003
25,Valeriy Shantalosov,Tobol Kostanay,Goalkeeper,-,"Mar 15, 1966 (36)",,"1,93m",,-,2003
26,Andrey Nenashev,Tobol Kostanay,Goalkeeper,-,"Dec 12, 1973 (29)",,"1,81m",right,-,2003
27,Ivan Chentsov,Tobol Kostanay,Goalkeeper,-,"Jan 26, 1982 (20)",,-,,-,2003
28,Sergey Maslenov,Tobol Kostanay,Defender,-,"Apr 25, 1974 (28)",,-,,-,2003
29,Abay Amanbaev,Tobol Kostanay,Defender,-,"Dec 15, 1981 (21)",,-,,-,2003
30,Sergey Kurnyavka,Tobol Kostanay,Defender,-,"Oct 18, 1984 (18)",,"1,85m",,-,2003
31,Maksim Chausov,Tobol Kostanay,Defender,-,"Mar 2, 1984 (18)",,"1,79m",,-,2003
32,Yuriy Damanskiy,Tobol Kostanay,Defender,-,"Dec 16, 1983 (19)",,-,,-,2003
33,Oleg Lotov,Tobol Kostanay,Centre-Back,-,"Nov 21, 1975 (27)",,"1,84m",right,-,2003
34,Sergey Andreev,Tobol Kostanay,Centre-Back,-,"May 14, 1971 (31)",,"1,83m",,-,2003
