,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,David Loria,Shakhter Karaganda,Goalkeeper,-,"Oct 31, 1981 (24)",,"1,83m",right,-,2006
1,Aleksandr Grigorenko,Shakhter Karaganda,Goalkeeper,-,"Feb 6, 1985 (20)",,"1,82m",right,-,2006
2,Sergiy Sarana,Shakhter Karaganda,Goalkeeper,-,"Dec 7, 1978 (27)",,"1,86m",,-,2006
3,Daniel Brezny,Shakhter Karaganda,Defender,-,"Dec 19, 1977 (28)",,"1,83m",,€350k,2006
4,Zeljko Joksimovic,Shakhter Karaganda,Defender,-,"Mar 14, 1974 (31)",,"1,80m",,-,2006
5,Andriy Foshchiy,Shakhter Karaganda,Defender,-,"Feb 19, 1981 (24)",,"1,86m",,-,2006
6,Karel Kratochvil,Shakhter Karaganda,Centre-Back,-,"Jun 8, 1982 (23)",,"1,86m",right,-,2006
7,Oleg Kornienko,Shakhter Karaganda,Centre-Back,-,"May 28, 1973 (32)",,"1,82m",right,-,2006
8,Aleksandr Kislitsyn,Shakhter Karaganda,Centre-Back,-,"Mar 8, 1986 (19)",,"1,89m",right,-,2006
9,Veaceslav Rusnac,Shakhter Karaganda,Left-Back,-,"Aug 27, 1975 (30)",,"1,75m",left,-,2006
10,Maksim Samchenko,Shakhter Karaganda,Left-Back,-,"May 5, 1979 (26)",,"1,80m",left,-,2006
11,Igor Soloshenko,Shakhter Karaganda,Left-Back,-,"May 22, 1979 (26)",,"1,81m",left,-,2006
12,Ilnur Mangutkin,Shakhter Karaganda,Left-Back,-,"Sep 16, 1986 (19)",,"1,76m",right,-,2006
13,Mikhail Glushko,Shakhter Karaganda,Defensive Midfield,-,"Jan 3, 1984 (21)",,"1,86m",right,-,2006
14,Vladica Curcic,Shakhter Karaganda,Midfielder,-,"Jul 18, 1978 (27)",,"1,80m",,-,2006
15,Rakhman Asukhanov,Shakhter Karaganda,Midfielder,-,"May 1, 1973 (32)",,"1,68m",,-,2006
16,Nursultan Nurzhigit,Shakhter Karaganda,Midfielder,-,"Aug 3, 1989 (16)",,"1,86m",,-,2006
17,Giorgi Gabidauri,Shakhter Karaganda,Central Midfield,-,"Dec 8, 1979 (26)",,"1,78m",,-,2006
18,Lasha Nozadze,Shakhter Karaganda,Central Midfield,-,"Mar 18, 1980 (25)",,"1,80m",right,-,2006
19,Rinat Khasenov,Shakhter Karaganda,Central Midfield,-,"May 8, 1987 (18)",,"1,78m",right,-,2006
20,Sergey Kostyuk,Shakhter Karaganda,Central Midfield,-,"Nov 30, 1978 (27)",,"1,77m",right,-,2006
21,Marlan Muzhikov,Shakhter Karaganda,Central Midfield,-,"Dec 1, 1986 (19)",,"1,75m",right,-,2006
22,Vladimir Kashtanov,Shakhter Karaganda,Central Midfield,-,"Feb 16, 1973 (32)",,"1,79m",,-,2006
23,Konstantin Bernatskiy,Shakhter Karaganda,Central Midfield,-,"Oct 8, 1987 (18)",,"1,77m",,-,2006
24,Evgeniy Lovchev,Shakhter Karaganda,Right Midfield,-,"Aug 6, 1975 (30)",,"1,79m",right,-,2006
25,Evgeniy Lunev,Shakhter Karaganda,Attacking Midfield,-,"Apr 26, 1976 (29)",,"1,86m",right,-,2006
26,Raphael Edereho,Shakhter Karaganda,Right Winger,-,"Mar 21, 1983 (22)",,"1,82m",right,-,2006
27,Ruslan Kenetaev,Shakhter Karaganda,Right Winger,-,"Mar 21, 1988 (17)",,"1,73m",right,-,2006
28,Levan Melkadze,Shakhter Karaganda,Centre-Forward,-,"Dec 12, 1979 (26)",,"1,86m",,€350k,2006
29,Pavel Veleba,Shakhter Karaganda,Centre-Forward,-,"Oct 6, 1976 (29)",,N/Am,N/A,-,2006
