,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Andrey Sidelnikov,FK Aktobe,Goalkeeper,55,"Mar 8, 1980 (30)",,"1,90m",right,€200k,2011
1,Sergey Boychenko,FK Aktobe,Goalkeeper,-,"Sep 27, 1977 (33)",,"1,98m",right,€50k,2011
2,Arslan Satubaldin,FK Aktobe,Goalkeeper,-,"Aug 11, 1984 (26)",,"1,93m",right,-,2011
3,Zhasur Narzikulov,FK Aktobe,Goalkeeper,34,"Apr 13, 1984 (26)",,"1,89m",right,-,2011
4,Stanislav Pavlov,FK Aktobe,Goalkeeper,35,"May 30, 1994 (16)",,"1,93m",right,-,2011
5,Arunas Klimavicius,FK Aktobe,Centre-Back,28,"Oct 5, 1982 (28)",,"1,85m",left,€450k,2011
6,Maksim Semenov,FK Aktobe,Centre-Back,-,"Sep 2, 1988 (22)",,"1,80m",right,€75k,2011
7,Sanat Shalekenov,FK Aktobe,Centre-Back,89,"Apr 4, 1989 (21)",,"1,84m",right,€75k,2011
8,Robert Primus,FK Aktobe,Centre-Back,6,"Nov 10, 1990 (20)",,"1,91m",right,€50k,2011
9,Emil Kenzhisariev,FK Aktobe,Left-Back,20,"Mar 26, 1987 (23)",,"1,75m",left,€250k,2011
10,Dmitriy Evstigneev,FK Aktobe,Left-Back,4,"Nov 21, 1986 (24)",,"1,81m",left,-,2011
11,Yuri Mokrousov,FK Aktobe,Left-Back,12,"Apr 21, 1989 (21)",,"1,83m",left,-,2011
12,Anton Chichulin,FK Aktobe,Right-Back,-,"Oct 27, 1984 (26)",,"1,82m",right,€125k,2011
13,Petr Badlo,FK Aktobe,Right-Back,5,"May 24, 1976 (34)",,"1,78m",right,€100k,2011
14,Dmitriy Miroshnichenko,FK Aktobe,Right-Back,77,"Feb 26, 1992 (18)",,"1,83m",right,-,2011
15,Samat Smakov,FK Aktobe,Defensive Midfield,8,"Dec 8, 1978 (32)",,"1,82m",both,€400k,2011
16,Yuriy Logvinenko,FK Aktobe,Defensive Midfield,23,"Jul 22, 1988 (22)",,"1,87m",left,€325k,2011
17,Islambek Kuat,FK Aktobe,Defensive Midfield,70,"Jan 12, 1993 (17)",,"1,79m",right,-,2011
18,Vitaliy Evstigneev,FK Aktobe,Defensive Midfield,88,"Aug 8, 1985 (25)",,"1,86m",both,-,2011
19,Serghei Covalciuc,FK Aktobe,Central Midfield,39,"Jan 20, 1982 (28)",,"1,82m",left,€800k,2011
20,Timur Kapadze,FK Aktobe,Central Midfield,80,"Sep 5, 1981 (29)",,"1,85m",right,€800k,2011
21,Aslan Darabaev,FK Aktobe,Central Midfield,14,"Jan 21, 1989 (21)",,"1,79m",right,€200k,2011
22,Aleksandr Wolf,FK Aktobe,Central Midfield,15,"Mar 16, 1993 (17)",,"1,86m",,-,2011
23,Darko Maletic,FK Aktobe,Right Midfield,33,"Oct 20, 1980 (30)",,"1,76m",right,€300k,2011
24,Evgeniy Averchenko,FK Aktobe,Right Midfield,-,"Apr 6, 1982 (28)",,"1,72m",right,€225k,2011
25,Evgeniy Dyadenko,FK Aktobe,Right Midfield,-,"Oct 23, 1992 (18)",,"1,76m",right,-,2011
26,Anton Zemlyanukhin,FK Aktobe,Left Midfield,44,"Dec 11, 1988 (22)",,"1,75m",left,€150k,2011
27,Lukas Bajer,FK Aktobe,Attacking Midfield,9,"Dec 15, 1984 (26)",,"1,75m",right,€500k,2011
28,Zoran Kostic,FK Aktobe,Attacking Midfield,7,"Nov 14, 1982 (28)",,"1,80m",right,€350k,2011
29,Nikita Khokhlov,FK Aktobe,Attacking Midfield,-,"Oct 27, 1983 (27)",,"1,82m",both,€175k,2011
30,Marat Khayrullin,FK Aktobe,Attacking Midfield,10,"Apr 26, 1984 (26)",,"1,76m",right,€150k,2011
31,Ruslan Sakhalbaev,FK Aktobe,Attacking Midfield,-,"Jun 27, 1984 (26)",,"1,68m",right,€50k,2011
32,Vladimir Vukajlovic,FK Aktobe,Left Winger,11,"Aug 25, 1983 (27)",,"1,82m",left,€250k,2011
33,Aleksandr Geynrikh,FK Aktobe,Centre-Forward,50,"Oct 6, 1984 (26)",,"1,83m",right,€850k,2011
34,Brana Ilic,FK Aktobe,Centre-Forward,18,"Feb 16, 1985 (25)",,"1,74m",right,€750k,2011
35,Vladimir Djilas,FK Aktobe,Centre-Forward,-,"Mar 3, 1983 (27)",,"1,90m",right,€500k,2011
36,Malick Mané,FK Aktobe,Centre-Forward,-,"Oct 14, 1988 (22)",,"1,73m",right,€450k,2011
37,Murat Tleshev,FK Aktobe,Centre-Forward,19,"Apr 18, 1980 (30)",,"1,88m",right,€350k,2011
38,Marat Bikmaev,FK Aktobe,Centre-Forward,75,"Jan 1, 1986 (24)",,"1,84m",both,€300k,2011
39,Georgi Daskalov,FK Aktobe,Centre-Forward,21,"Aug 3, 1981 (29)",,"1,88m",right,€250k,2011
40,Sergey Lisenkov,FK Aktobe,Centre-Forward,22,"Jun 17, 1991 (19)",,"1,92m",right,-,2011
41,Maksat Kurmashev,FK Aktobe,Striker,91,"Aug 14, 1991 (19)",,"1,76m",,-,2011
42,Abat Aymbetov,FK Aktobe,Centre-Forward,95,"Aug 7, 1995 (15)",,"1,84m",right,-,2011
43,Sergey Stepanenko,Zhetysu Taldykorgan,Goalkeeper,16,"Jan 25, 1981 (29)",,"1,88m",right,€200k,2011
44,Erik Duysenbekuly,Zhetysu Taldykorgan,Goalkeeper,-,"Aug 30, 1992 (18)",,"1,83m",right,-,2011
45,Evgeni Firsov,Zhetysu Taldykorgan,Goalkeeper,-,"Apr 22, 1993 (17)",,"1,86m",right,-,2011
46,Vladimir Loginovskiy,Zhetysu Taldykorgan,Goalkeeper,1,"Oct 8, 1985 (25)",,"1,93m",right,-,2011
47,Nurzhan Nusipzhanov,Zhetysu Taldykorgan,Defender,-,"Jul 22, 1993 (17)",,"1,83m",,-,2011
48,Milos Mihajlov,Zhetysu Taldykorgan,Centre-Back,21,"Dec 15, 1982 (28)",,"1,85m",both,€900k,2011
49,Vule Trivunovic,Zhetysu Taldykorgan,Centre-Back,-,"Mar 13, 1983 (27)",,"1,88m",left,€700k,2011
50,Marko Djalovic,Zhetysu Taldykorgan,Centre-Back,86,"May 19, 1986 (24)",,"1,89m",left,€400k,2011
51,Tanko Dyakov,Zhetysu Taldykorgan,Centre-Back,3,"Aug 18, 1984 (26)",,"1,94m",both,€350k,2011
52,Damir Dautov,Zhetysu Taldykorgan,Centre-Back,5,"Mar 3, 1990 (20)",,"1,87m",right,€50k,2011
53,Viktor Kovalev,Zhetysu Taldykorgan,Centre-Back,24,"Aug 25, 1980 (30)",,"1,90m",right,-,2011
54,Vladimir Berikbaev,Zhetysu Taldykorgan,Left-Back,-,"Feb 27, 1988 (22)",,"1,82m",left,-,2011
55,Daniyar Mukanov,Zhetysu Taldykorgan,Right-Back,18,"Sep 26, 1976 (34)",,"1,79m",right,€150k,2011
56,Zakhar Korobov,Zhetysu Taldykorgan,Right-Back,23,"May 18, 1988 (22)",,"1,77m",right,€25k,2011
57,Aydar Kumisbekov,Zhetysu Taldykorgan,Right-Back,2,"Feb 9, 1979 (31)",,"1,77m",right,-,2011
58,Sinisa Dobrasinovic,Zhetysu Taldykorgan,Defensive Midfield,19,"Feb 17, 1977 (33)",,"1,86m",right,€800k,2011
59,Ivan Cvetkovic,Zhetysu Taldykorgan,Defensive Midfield,-,"Feb 12, 1981 (29)",,"1,77m",both,€350k,2011
60,Sergey Skorykh,Zhetysu Taldykorgan,Defensive Midfield,10,"May 25, 1984 (26)",,"1,84m",right,€300k,2011
61,Aydos Meirmanov,Zhetysu Taldykorgan,Central Midfield,-,"Feb 14, 1990 (20)",,"1,77m",right,-,2011
62,Marlan Muzhikov,Zhetysu Taldykorgan,Central Midfield,60,"Dec 1, 1986 (24)",,"1,75m",right,-,2011
63,Ruslan Barzukaev,Zhetysu Taldykorgan,Central Midfield,61,"Dec 5, 1987 (23)",,"1,82m",right,-,2011
64,Evgeniy Averchenko,Zhetysu Taldykorgan,Right Midfield,30,"Apr 6, 1982 (28)",,"1,72m",right,€225k,2011
65,Olzhas Spanov,Zhetysu Taldykorgan,Right Midfield,14,"Nov 30, 1989 (21)",,"1,75m",right,-,2011
66,Sayat Sariyev,Zhetysu Taldykorgan,Left Midfield,22,"Oct 15, 1992 (18)",,"1,68m",right,-,2011
67,Zoran Kostic,Zhetysu Taldykorgan,Attacking Midfield,70,"Nov 14, 1982 (28)",,"1,80m",right,€350k,2011
68,Akzhol Serikzhanov,Zhetysu Taldykorgan,Attacking Midfield,-,"May 6, 1990 (20)",,"1,75m",right,€50k,2011
69,Serikzhan Muzhikov,Zhetysu Taldykorgan,Attacking Midfield,7,"Jun 17, 1989 (21)",,"1,69m",right,-,2011
70,Azat Nurgaliev,Zhetysu Taldykorgan,Left Winger,-,"Jun 30, 1986 (24)",,"1,73m",both,€250k,2011
71,Daniyar Nukebay,Zhetysu Taldykorgan,Left Winger,-,"Oct 1, 1995 (15)",,"1,65m",,-,2011
72,Edin Junuzovic,Zhetysu Taldykorgan,Centre-Forward,28,"Apr 28, 1986 (24)",,"1,88m",right,€450k,2011
73,Murat Tleshev,Zhetysu Taldykorgan,Centre-Forward,79,"Apr 18, 1980 (30)",,"1,88m",right,€350k,2011
74,Goran Marić,Zhetysu Taldykorgan,Centre-Forward,-,"Mar 23, 1984 (26)",,"1,84m",left,€200k,2011
75,Dauren Kusainov,Zhetysu Taldykorgan,Centre-Forward,-,"Apr 10, 1984 (26)",,"1,82m",right,-,2011
76,Miras Abenov,Zhetysu Taldykorgan,Striker,-,"Jul 11, 1992 (18)",,"1,74m",,-,2011
77,Aleksey Shchetkin,Zhetysu Taldykorgan,Centre-Forward,11,"May 21, 1991 (19)",,"1,93m",right,-,2011
78,Danilo Belic,Zhetysu Taldykorgan,Centre-Forward,20,"Nov 10, 1980 (30)",,"1,85m",right,-,2011
79,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (28)",,"1,97m",right,€300k,2011
80,Aleksey Belkin,FC Astana,Goalkeeper,55,"Nov 25, 1981 (29)",,"1,94m",right,€100k,2011
81,Denis Tolebaev,FC Astana,Goalkeeper,24,"Feb 7, 1987 (23)",,"2,05m",right,€25k,2011
82,Mikhail Rozhkov,FC Astana,Centre-Back,27,"Dec 27, 1983 (27)",,"1,91m",right,€400k,2011
83,Kairat Nurdauletov,FC Astana,Centre-Back,6,"Nov 6, 1982 (28)",,"1,84m",right,€250k,2011
84,Dimitrija Lazarevski,FC Astana,Centre-Back,29,"Sep 23, 1982 (28)",,"1,78m",left,€200k,2011
85,Viktor Dmitrenko,FC Astana,Centre-Back,8,"Apr 4, 1991 (19)",,"1,90m",right,€50k,2011
86,Mukhtar Mukhtarov,FC Astana,Centre-Back,4,"Jan 6, 1986 (24)",,"1,88m",right,-,2011
87,Evgeniy Goryachiy,FC Astana,Left-Back,16,"Feb 2, 1991 (19)",,"1,86m",left,-,2011
88,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (18)",,"1,87m",right,-,2011
89,Nurtas Kurgulin,FC Astana,Right-Back,18,"Sep 20, 1986 (24)",,"1,75m",right,-,2011
90,Emil Dica,FC Astana,Defensive Midfield,10,"Jul 17, 1982 (28)",,"1,79m",right,€600k,2011
91,Valeriy Korobkin,FC Astana,Defensive Midfield,3,"Jul 2, 1984 (26)",,"1,85m",right,€400k,2011
92,Christian Ebala,FC Astana,Defensive Midfield,19,"Mar 17, 1988 (22)",,"1,86m",right,€125k,2011
93,Islambek Kuat,FC Astana,Defensive Midfield,-,"Jan 12, 1993 (17)",,"1,79m",right,-,2011
94,Piraly Aliev,FC Astana,Defensive Midfield,5,"Jan 13, 1984 (26)",,"1,80m",right,-,2011
95,Marat Shakhmetov,FC Astana,Central Midfield,22,"Feb 6, 1989 (21)",,"1,82m",right,€225k,2011
96,Damir Kojasevic,FC Astana,Attacking Midfield,90,"Jun 3, 1987 (23)",,"1,72m",both,€450k,2011
97,Foxi Kethevoama,FC Astana,Attacking Midfield,20,"May 30, 1986 (24)",,"1,72m",both,€275k,2011
98,Dusan Petronijevic,FC Astana,Attacking Midfield,31,"Nov 9, 1983 (27)",,"1,78m",both,€150k,2011
99,Ulan Konysbaev,FC Astana,Right Winger,7,"May 28, 1989 (21)",,"1,75m",right,-,2011
100,Tanat Nuserbaev,FC Astana,Centre-Forward,17,"Jan 1, 1987 (23)",,"1,75m",right,€800k,2011
101,Filip Ivanovski,FC Astana,Centre-Forward,28,"May 1, 1985 (25)",,"1,86m",right,€500k,2011
102,Sergey Ostapenko,FC Astana,Centre-Forward,9,"Feb 23, 1986 (24)",,"1,85m",right,€350k,2011
103,Sergey Gridin,FC Astana,Centre-Forward,11,"May 20, 1987 (23)",,"1,95m",right,-,2011
104,Denis Prokopenko,FC Astana,Centre-Forward,40,"Oct 5, 1991 (19)",,"1,78m",right,-,2011
105,Roman Nesterenko,Ordabasy Shymkent,Goalkeeper,1,"Mar 22, 1977 (33)",,"1,99m",right,€75k,2011
106,Almat Bekbaev,Ordabasy Shymkent,Goalkeeper,-,"Jul 14, 1984 (26)",,"1,94m",right,-,2011
107,Samat Otarbaev,Ordabasy Shymkent,Goalkeeper,32,"Feb 18, 1990 (20)",,"1,90m",right,-,2011
108,Auezkhan Kozhabaev,Ordabasy Shymkent,Defender,-,"May 19, 1994 (16)",,"1,75m",,-,2011
109,Farkhadbek Irismetov,Ordabasy Shymkent,Centre-Back,-,"Aug 10, 1981 (29)",,"1,83m",right,€200k,2011
110,Aleksandar Trajkovic,Ordabasy Shymkent,Centre-Back,6,"Jan 16, 1981 (29)",,"1,87m",right,€125k,2011
111,Maksim Zhalmagambetov,Ordabasy Shymkent,Centre-Back,4,"Jul 11, 1983 (27)",,"1,95m",right,€100k,2011
112,Andrew Mwesigwa,Ordabasy Shymkent,Centre-Back,3,"Apr 24, 1984 (26)",,"1,80m",right,-,2011
113,Mukhtar Mukhtarov,Ordabasy Shymkent,Centre-Back,86,"Jan 6, 1986 (24)",,"1,88m",right,-,2011
114,Mohamed Larbi Arouri,Ordabasy Shymkent,Left-Back,99,"May 13, 1983 (27)",,"1,86m",left,€300k,2011
115,Gafurzhan Suyumbaev,Ordabasy Shymkent,Left-Back,5,"Aug 19, 1990 (20)",,"1,75m",left,-,2011
116,Talgat Adyrbekov,Ordabasy Shymkent,Right-Back,77,"Jan 26, 1989 (21)",,"1,78m",right,€75k,2011
117,Bakdaulet Kozhabaev,Ordabasy Shymkent,Right-Back,14,"Jun 19, 1992 (18)",,"1,82m",right,-,2011
118,Andrey Karpovich,Ordabasy Shymkent,Defensive Midfield,8,"Jan 18, 1981 (29)",,"1,77m",both,€400k,2011
119,Artem Kasyanov,Ordabasy Shymkent,Defensive Midfield,12,"Apr 20, 1983 (27)",,"1,80m",left,€200k,2011
120,Bekzat Beysenov,Ordabasy Shymkent,Defensive Midfield,15,"Feb 18, 1987 (23)",,"1,82m",right,-,2011
121,Kanat Imanov,Ordabasy Shymkent,Midfielder,33,"Mar 23, 1991 (19)",,"1,77m",,-,2011
122,Mato Simunovic,Ordabasy Shymkent,Central Midfield,-,"Sep 27, 1985 (25)",,"1,80m",right,€150k,2011
123,Evgeniy Levin,Ordabasy Shymkent,Central Midfield,-,"Jul 12, 1992 (18)",,"1,74m",right,-,2011
124,Roman Pakholyuk,Ordabasy Shymkent,Right Midfield,7,"Oct 3, 1979 (31)",,"1,75m",right,€200k,2011
125,Kairat Ashirbekov,Ordabasy Shymkent,Attacking Midfield,10,"Oct 21, 1982 (28)",,"1,72m",left,€100k,2011
126,Mansour Gueye,Ordabasy Shymkent,Left Winger,11,"Dec 30, 1985 (25)",,"1,82m",both,€650k,2011
127,Mardan Tolebek,Ordabasy Shymkent,Right Winger,17,"Dec 18, 1990 (20)",,"1,74m",left,-,2011
