,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Dmitriy Nepogodov,FC Astana,Goalkeeper,22,"Feb 17, 1988 (31)",,"1,96m",left,€1.80m,2020
1,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (37)",,"1,97m",right,€300k,2020
2,Aleksandr Zarutskiy,FC Astana,Goalkeeper,55,"Aug 26, 1993 (26)",,"1,92m",right,€200k,2020
3,Danil Podymskiy,FC Astana,Goalkeeper,31,"Jun 5, 1998 (21)",,"1,90m",right,€50k,2020
4,Konstantin Onoprienko,FC Astana,Goalkeeper,-,"Aug 5, 2003 (16)",,"1,83m",right,-,2020
5,Nagda Bakizhev,FC Astana,Goalkeeper,-,"Jan 29, 2002 (17)",,"1,84m",right,-,2020
6,Varazdat Haroyan,FC Astana,Centre-Back,3,"Aug 24, 1992 (27)",,"1,85m",right,€1.20m,2020
7,Uros Radakovic,FC Astana,Centre-Back,4,"Mar 31, 1994 (25)",,"1,94m",right,€1.20m,2020
8,Luka Simunovic,FC Astana,Centre-Back,24,"May 24, 1997 (22)",,"1,85m",right,€1.00m,2020
9,Zarko Tomasevic,FC Astana,Centre-Back,33,"Feb 22, 1990 (29)",,"1,90m",left,€900k,2020
10,Evgeniy Postnikov,FC Astana,Centre-Back,44,"Apr 16, 1986 (33)",,"1,89m",right,€800k,2020
11,Mark Gurman,FC Astana,Centre-Back,5,"Feb 9, 1989 (30)",,"1,79m",right,€350k,2020
12,Eneo Bitri,FC Astana,Centre-Back,-,"Aug 26, 1996 (23)",,"1,92m",right,€75k,2020
13,Yuriy Akhanov,FC Astana,Centre-Back,-,"Jul 31, 2002 (17)",,"1,85m",left,€25k,2020
14,Rakhat Maratov,FC Astana,Centre-Back,-,"Apr 28, 2001 (18)",,"1,88m",right,-,2020
15,Ruslan Pistol,FC Astana,Centre-Back,-,"Sep 2, 2002 (17)",,"1,85m",,-,2020
16,Dmitriy Shomko,FC Astana,Left-Back,77,"Mar 19, 1990 (29)",,"1,85m",left,€2.50m,2020
17,Kike Cadete,FC Astana,Left-Back,21,"Jun 24, 1994 (25)",,"1,86m",left,€500k,2020
18,Sagi Sovet,FC Astana,Left-Back,18,"Mar 15, 2000 (19)",,"1,75m",left,€75k,2020
19,Dias Kanatkali,FC Astana,Left-Back,-,"Feb 14, 2001 (18)",,"1,75m",left,-,2020
20,Aydos Kumarov,FC Astana,Left-Back,-,"Feb 27, 2002 (17)",,"1,75m",left,-,2020
21,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (27)",,"1,87m",right,€1.50m,2020
22,Antonio Rukavina,FC Astana,Right-Back,2,"Jan 26, 1984 (35)",,"1,77m",right,€600k,2020
