,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Aleksandr Petukhov,Tobol Kostanay,Goalkeeper,35,"Jan 11, 1985 (23)",,"1,87m",right,€50k,2009
1,Andrey Zaporoshchenko,Tobol Kostanay,Goalkeeper,-,"Feb 1, 1989 (19)",,-,,-,2009
2,Andrey Gerfort,Tobol Kostanay,Goalkeeper,-,"Dec 14, 1990 (18)",,"1,84m",right,-,2009
3,Yaroslav Baginskiy,Tobol Kostanay,Goalkeeper,1,"Oct 3, 1987 (21)",,"1,85m",right,-,2009
4,Aleksey Iosipenko,Tobol Kostanay,Defender,-,"Feb 9, 1991 (17)",,"1,86m",,-,2009
5,Azamat Nurakhmetov,Tobol Kostanay,Defender,-,"Feb 6, 1990 (18)",,-,,-,2009
6,Artem Chelyadinskiy,Tobol Kostanay,Centre-Back,-,"Dec 29, 1977 (31)",,"1,87m",right,€900k,2009
7,Farkhadbek Irismetov,Tobol Kostanay,Centre-Back,14,"Aug 10, 1981 (27)",,"1,83m",right,€100k,2009
8,Oleg Lotov,Tobol Kostanay,Centre-Back,15,"Nov 21, 1975 (33)",,"1,84m",right,€50k,2009
9,Vladimir Yakovlev,Tobol Kostanay,Centre-Back,-,"Aug 2, 1984 (24)",,"1,82m",right,-,2009
10,Aleksandr Shkot,Tobol Kostanay,Centre-Back,-,"May 15, 1989 (19)",,"1,86m",right,-,2009
11,Aleksey Makarov,Tobol Kostanay,Centre-Back,-,"Aug 30, 1989 (19)",,"1,86m",right,-,2009
12,Renat Abdulin,Tobol Kostanay,Centre-Back,5,"Apr 14, 1982 (26)",,"1,85m",right,-,2009
13,Sanat Shalekenov,Tobol Kostanay,Centre-Back,22,"Apr 4, 1989 (19)",,"1,84m",right,-,2009
14,Oleg Sabirov,Tobol Kostanay,Left-Back,13,"Mar 13, 1978 (30)",,"1,81m",right,-,2009
15,Daniyar Mukanov,Tobol Kostanay,Right-Back,18,"Sep 26, 1976 (32)",,"1,79m",right,€100k,2009
16,Ermek Kuantaev,Tobol Kostanay,Right-Back,20,"Oct 13, 1990 (18)",,"1,74m",both,-,2009
17,Vit Turtenwald,Tobol Kostanay,Defensive Midfield,3,"Mar 5, 1980 (28)",,"1,85m",right,€350k,2009
18,Sergey Skorykh,Tobol Kostanay,Defensive Midfield,-,"May 25, 1984 (24)",,"1,84m",right,€50k,2009
19,Stanimir Dimitrov,Tobol Kostanay,Defensive Midfield,-,"Apr 24, 1972 (36)",,"1,88m",,€50k,2009
20,Andrey Kharabara,Tobol Kostanay,Defensive Midfield,8,"Sep 1, 1985 (23)",,"1,71m",right,€50k,2009
21,Andrei Corneencov,Tobol Kostanay,Defensive Midfield,17,"Apr 1, 1982 (26)",,"1,83m",left,-,2009
22,Andrey Travin,Tobol Kostanay,Defensive Midfield,27,"Apr 27, 1979 (29)",,"1,76m",left,-,2009
23,Maksat Akhanov,Tobol Kostanay,Central Midfield,6,"May 12, 1990 (18)",,"1,80m",right,-,2009
24,Dauren Zhatekov,Tobol Kostanay,Central Midfield,19,"Feb 28, 1991 (17)",,"1,87m",right,-,2009
25,Aleksey Malyshev,Tobol Kostanay,Central Midfield,21,"Jun 24, 1989 (19)",,"1,86m",right,-,2009
26,Filip Klapka,Tobol Kostanay,Attacking Midfield,-,"Jun 20, 1981 (27)",,"1,85m",right,€300k,2009
27,Nurbol Zhumaskaliev,Tobol Kostanay,Attacking Midfield,9,"May 11, 1981 (27)",,"1,76m",left,€150k,2009
28,Ruslan Baltiev,Tobol Kostanay,Attacking Midfield,-,"Sep 16, 1978 (30)",,"1,74m",both,€100k,2009
29,Igor Yurin,Tobol Kostanay,Attacking Midfield,24,"Jul 3, 1982 (26)",,"1,71m",right,€50k,2009
30,Sabyrkhan Ibraev,Tobol Kostanay,Attacking Midfield,-,"Mar 22, 1988 (20)",,"1,77m",right,-,2009
31,Artem Deli,Tobol Kostanay,Attacking Midfield,40,"Mar 2, 1989 (19)",,"1,83m",right,-,2009
32,Azat Nurgaliev,Tobol Kostanay,Left Winger,7,"Jun 30, 1986 (22)",,"1,73m",both,€50k,2009
33,Beybut Abishev,Tobol Kostanay,Left Winger,-,"Feb 9, 1992 (16)",,"1,71m",both,-,2009
34,Vyacheslav Serdyukov,Tobol Kostanay,Left Winger,12,"Aug 16, 1989 (19)",,"1,85m",right,-,2009
35,Dmitri Parkhachev,Tobol Kostanay,Left Winger,23,"Jan 2, 1985 (23)",,"1,80m",right,-,2009
36,Alexandru Golban,Tobol Kostanay,Centre-Forward,-,"Feb 28, 1979 (29)",,N/Am,N/A,€450k,2009
37,Pavel Beganskiy,Tobol Kostanay,Centre-Forward,-,"Jan 9, 1981 (27)",,"1,90m",right,€400k,2009
38,Vladimir Bayramov,Tobol Kostanay,Centre-Forward,-,"Aug 2, 1980 (28)",,"1,81m",right,€300k,2009
39,Ruslan Levyga,Tobol Kostanay,Centre-Forward,-,"Jan 31, 1983 (25)",,"1,83m",both,€200k,2009
40,Ulugbek Bakaev,Tobol Kostanay,Centre-Forward,10,"Nov 28, 1978 (30)",,"1,83m",right,€150k,2009
41,Murat Suyumagambetov,Tobol Kostanay,Centre-Forward,11,"Oct 14, 1983 (25)",,"1,81m",right,€100k,2009
42,Azamat Aubakirov,Tobol Kostanay,Striker,-,"Nov 10, 1987 (21)",,"1,75m",,-,2009
43,Geysar Alekperzade,Tobol Kostanay,Centre-Forward,-,"Dec 2, 1984 (24)",,"1,77m",right,-,2009
44,Ayan Kulmagambetov,Tobol Kostanay,Striker,-,"Jan 19, 1990 (18)",,-,,-,2009
45,Stanislav Yakovlev,Tobol Kostanay,Striker,-,"Mar 4, 1991 (17)",,-,,-,2009
46,Andrey Sidelnikov,FK Aktobe,Goalkeeper,55,"Mar 8, 1980 (28)",,"1,90m",right,€150k,2009
47,Sergey Boychenko,FK Aktobe,Goalkeeper,29,"Sep 27, 1977 (31)",,"1,98m",right,€50k,2009
48,Khalifa Ba,FK Aktobe,Centre-Back,2,"Oct 12, 1985 (23)",,"1,88m",right,€50k,2009
49,Maksim Semenov,FK Aktobe,Centre-Back,25,"Sep 2, 1988 (20)",,"1,80m",right,-,2009
50,Azat Ersalimov,FK Aktobe,Left-Back,-,"Jul 19, 1988 (20)",,"1,67m",both,€25k,2009
51,Emil Kenzhisariev,FK Aktobe,Left-Back,10,"Mar 26, 1987 (21)",,"1,75m",left,-,2009
