,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Stas Pokatilov,Kairat Almaty,Goalkeeper,27,"Dec 8, 1992 (23)",,"1,90m",right,€1.00m,2016
1,Vladimir Plotnikov,Kairat Almaty,Goalkeeper,1,"Apr 3, 1986 (29)",,"1,91m",right,€400k,2016
2,Andrey Sidelnikov,Kairat Almaty,Goalkeeper,-,"Mar 8, 1980 (35)",,"1,90m",right,€200k,2016
3,Vladimir Groshev,Kairat Almaty,Goalkeeper,-,"Jan 4, 1995 (20)",,"1,92m",right,-,2016
4,Oleg Grubov,Kairat Almaty,Goalkeeper,30,"Mar 4, 1997 (18)",,"1,85m",right,-,2016
5,César Arzo,Kairat Almaty,Centre-Back,14,"Jan 21, 1986 (29)",,"1,85m",right,€1.25m,2016
6,Sheldon Bateau,Kairat Almaty,Centre-Back,29,"Jan 29, 1991 (24)",,"1,90m",right,€1.00m,2016
7,Zarko Markovic,Kairat Almaty,Centre-Back,6,"Jan 28, 1987 (28)",,"2,04m",left,€700k,2016
8,Timur Rudoselskiy,Kairat Almaty,Centre-Back,2,"Dec 21, 1994 (21)",,"1,93m",right,€300k,2016
9,Eldos Akhmetov,Kairat Almaty,Centre-Back,4,"Jun 1, 1990 (25)",,"1,87m",right,€300k,2016
10,Cédric Gogoua,Kairat Almaty,Centre-Back,31,"Jul 10, 1994 (21)",,"1,90m",right,€300k,2016
11,Nurlan Dairov,Kairat Almaty,Centre-Back,-,"Jun 26, 1995 (20)",,"1,81m",right,-,2016
12,Alibek Kasym,Kairat Almaty,Centre-Back,32,"May 27, 1998 (17)",,"1,93m",right,-,2016
13,Lukas Tesak,Kairat Almaty,Left-Back,-,"Mar 8, 1985 (30)",,"1,76m",left,€850k,2016
14,Gafurzhan Suyumbaev,Kairat Almaty,Left-Back,5,"Aug 19, 1990 (25)",,"1,75m",left,€600k,2016
15,Yan Vorogovskiy,Kairat Almaty,Left-Back,3,"Aug 7, 1996 (19)",,"1,82m",left,€250k,2016
16,Ermek Kuantaev,Kairat Almaty,Right-Back,13,"Oct 13, 1990 (25)",,"1,74m",both,€600k,2016
17,Stanislav Lunin,Kairat Almaty,Right-Back,19,"May 2, 1993 (22)",,"1,80m",right,€300k,2016
18,Aleksandr Sokolenko,Kairat Almaty,Right-Back,58,"Nov 23, 1996 (19)",,"1,81m",both,-,2016
19,Mikhail Bakaev,Kairat Almaty,Defensive Midfield,8,"Aug 5, 1987 (28)",,"1,75m",right,€750k,2016
20,Islambek Kuat,Kairat Almaty,Defensive Midfield,7,"Jan 12, 1993 (22)",,"1,79m",right,€700k,2016
21,Ákos Elek,Kairat Almaty,Defensive Midfield,25,"Jul 21, 1988 (27)",,"1,93m",left,€600k,2016
22,Anatoliy Tymoshchuk,Kairat Almaty,Defensive Midfield,-,"Mar 30, 1979 (36)",,"1,81m",right,€200k,2016
23,Oybek Baltabaev,Kairat Almaty,Defensive Midfield,16,"Jun 13, 1994 (21)",,"1,73m",both,€200k,2016
24,Aybol Abiken,Kairat Almaty,Defensive Midfield,57,"Jun 1, 1996 (19)",,"1,79m",right,-,2016
25,Gerson Acevedo,Kairat Almaty,Central Midfield,-,"Apr 5, 1988 (27)",,"1,82m",right,€1.40m,2016
26,Georgiy Zhukov,Kairat Almaty,Central Midfield,23,"Nov 19, 1994 (21)",,"1,72m",right,€700k,2016
27,Aslan Darabaev,Kairat Almaty,Central Midfield,-,"Jan 21, 1989 (26)",,"1,79m",right,€600k,2016
28,Rashid Lyukhay,Kairat Almaty,Central Midfield,-,"Jul 30, 1997 (18)",,"1,67m",left,-,2016
29,Magomed Paragulgov,Kairat Almaty,Central Midfield,63,"Mar 26, 1994 (21)",,"1,81m",right,-,2016
30,Bauyrzhan Islamkhan,Kairat Almaty,Attacking Midfield,9,"Feb 23, 1993 (22)",,"1,74m",right,€1.00m,2016
31,Ivo Ilicevic,Kairat Almaty,Left Winger,20,"Nov 14, 1986 (29)",,N/Am,N/A,€1.00m,2016
32,Andrey Arshavin,Kairat Almaty,Left Winger,28,"May 29, 1981 (34)",,"1,72m",both,€1.00m,2016
33,Akmal Bakhtiyarov,Kairat Almaty,Left Winger,-,"Jun 2, 1998 (17)",,"1,69m",right,-,2016
34,Isael,Kairat Almaty,Right Winger,10,"May 13, 1988 (27)",,"1,71m",left,€1.20m,2016
35,Madiyar Raiymbek,Kairat Almaty,Right Winger,22,"Aug 15, 1995 (20)",,"1,65m",right,-,2016
36,Gerard Gohou,Kairat Almaty,Centre-Forward,11,"Dec 29, 1988 (27)",,"1,84m",right,€1.80m,2016
37,Léandre Tawamba,Kairat Almaty,Centre-Forward,-,"Dec 20, 1989 (26)",,"1,89m",right,€400k,2016
38,Bauyrzhan Turysbek,Kairat Almaty,Centre-Forward,15,"Oct 15, 1991 (24)",,"1,81m",right,€250k,2016
39,Chuma Anene,Kairat Almaty,Centre-Forward,21,"May 14, 1993 (22)",,"1,89m",right,€200k,2016
40,Artur Shushenachev,Kairat Almaty,Centre-Forward,-,"Apr 7, 1998 (17)",,"1,90m",right,-,2016
41,Mohamed Konaté,Kairat Almaty,Centre-Forward,53,"Dec 12, 1997 (18)",,"1,91m",right,-,2016
42,Andrey Sidelnikov,FK Aktobe,Goalkeeper,55,"Mar 8, 1980 (35)",,"1,90m",right,€200k,2016
