,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Vladimir Loginovskiy,FC Astana,Goalkeeper,-,"Oct 8, 1985 (29)",,"1,93m",right,€300k,2015
1,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (32)",,"1,97m",right,€300k,2015
2,Aleksandr Mokin,FC Astana,Goalkeeper,35,"Jun 19, 1981 (33)",,"1,94m",right,€100k,2015
3,Mikhail Golubnichiy,FC Astana,Goalkeeper,40,"Jan 31, 1995 (19)",,"1,88m",right,-,2015
4,Abylaykhan Duysen,FC Astana,Goalkeeper,47,"Jun 3, 1994 (20)",,"1,90m",right,-,2015
5,Aleksander Berg,FC Astana,Defender,-,"Feb 4, 1997 (17)",,"1,70m",,-,2015
6,Branko Ilic,FC Astana,Centre-Back,-,"Feb 6, 1983 (31)",,"1,88m",right,€750k,2015
7,Marin Anicic,FC Astana,Centre-Back,5,"Aug 17, 1989 (25)",,"1,92m",left,€650k,2015
8,Evgeniy Postnikov,FC Astana,Centre-Back,44,"Apr 16, 1986 (28)",,"1,89m",right,€500k,2015
9,Mark Gurman,FC Astana,Centre-Back,4,"Feb 9, 1989 (25)",,"1,79m",right,€300k,2015
10,Sergey Maliy,FC Astana,Centre-Back,25,"Jun 5, 1990 (24)",,"1,91m",right,€300k,2015
11,Eldos Akhmetov,FC Astana,Centre-Back,-,"Jun 1, 1990 (24)",,"1,87m",right,€200k,2015
12,Birzhan Kulbekov,FC Astana,Centre-Back,28,"Apr 22, 1994 (20)",,"1,90m",right,-,2015
13,Dmitriy Shomko,FC Astana,Left-Back,77,"Mar 19, 1990 (24)",,"1,85m",left,€600k,2015
14,Konstantin Engel,FC Astana,Left-Back,-,"Jul 27, 1988 (26)",,"1,79m",right,€450k,2015
15,Berik Shaykhov,FC Astana,Left-Back,21,"Feb 20, 1994 (20)",,"1,70m",left,€200k,2015
16,Sagi Sovet,FC Astana,Left-Back,-,"Mar 15, 2000 (14)",,"1,75m",left,-,2015
17,Igor Shitov,FC Astana,Right-Back,-,"Oct 24, 1986 (28)",,"1,85m",right,€700k,2015
18,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (22)",,"1,87m",right,€300k,2015
19,Gevorg Nadzharyan,FC Astana,Right-Back,12,"Jan 6, 1998 (16)",,"1,75m",right,-,2015
20,Denys Dedechko,FC Astana,Defensive Midfield,-,"Jul 2, 1987 (27)",,"1,88m",right,€1.80m,2015
21,Róger Cañas,FC Astana,Defensive Midfield,88,"Mar 27, 1990 (24)",,"1,90m",right,€800k,2015
22,Yuriy Logvinenko,FC Astana,Defensive Midfield,27,"Jul 22, 1988 (26)",,"1,87m",left,€500k,2015
23,Igor Pikalkin,FC Astana,Defensive Midfield,-,"Mar 19, 1992 (22)",,"1,82m",right,€200k,2015
24,Daulet Zaynetdinov,FC Astana,Defensive Midfield,-,"May 15, 1997 (17)",,"1,87m",right,-,2015
25,Abay Zhunusov,FC Astana,Defensive Midfield,31,"Mar 15, 1995 (19)",,"1,74m",right,-,2015
26,Lukman Haruna,FC Astana,Central Midfield,20,"Dec 4, 1990 (24)",,"1,80m",right,€3.00m,2015
27,Nemanja Maksimovic,FC Astana,Central Midfield,6,"Jan 26, 1995 (19)",,"1,89m",right,€500k,2015
28,Askhat Tagybergen,FC Astana,Central Midfield,8,"Aug 9, 1990 (24)",,"1,79m",right,€350k,2015
29,Georgiy Zhukov,FC Astana,Central Midfield,-,"Nov 19, 1994 (20)",,"1,72m",right,€300k,2015
30,Sultan Sagnaev,FC Astana,Central Midfield,-,"Jan 14, 2000 (14)",,"1,72m",right,-,2015
31,Madi Zhakipbaev,FC Astana,Central Midfield,71,"Mar 21, 2000 (14)",,"1,74m",right,-,2015
