,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Yuriy Novikov,Irtysh Pavlodar,Goalkeeper,1,"May 19, 1972 (29)",,-,,-,2002
1,Kirill Pryadkin,Irtysh Pavlodar,Goalkeeper,16,"Jul 6, 1977 (24)",,"1,85m",right,-,2002
2,Dmitriy Dralov,Irtysh Pavlodar,Goalkeeper,30,"Jun 22, 1984 (17)",,"1,87m",,-,2002
3,Bagdat Dostaev,Irtysh Pavlodar,Defender,5,"Jun 6, 1979 (22)",,"1,80m",,-,2002
4,Tomas Stastka,Irtysh Pavlodar,Defender,23,"Mar 12, 1975 (26)",,"1,82m",,-,2002
5,Kairat Nurdauletov,Irtysh Pavlodar,Centre-Back,4,"Nov 6, 1982 (19)",,"1,84m",right,-,2002
6,Vladislav Chernyshov,Irtysh Pavlodar,Centre-Back,13,"Mar 16, 1981 (20)",,"1,86m",right,-,2002
7,Farkhadbek Irismetov,Irtysh Pavlodar,Centre-Back,14,"Aug 10, 1981 (20)",,"1,83m",right,-,2002
8,Sergey Timofeev,Irtysh Pavlodar,Left-Back,2,"Mar 5, 1965 (36)",,N/Am,N/A,-,2002
9,Fevzi Davletov,Irtysh Pavlodar,Left-Back,20,"Sep 20, 1972 (29)",,"1,72m",right,-,2002
10,Aydar Kumisbekov,Irtysh Pavlodar,Right-Back,3,"Feb 9, 1979 (22)",,"1,77m",right,-,2002
11,Dias Kamelov,Irtysh Pavlodar,Defensive Midfield,7,"May 29, 1981 (20)",,"1,74m",right,-,2002
12,Serik Zheylitbaev,Irtysh Pavlodar,Midfielder,17,"Aug 23, 1974 (27)",,"1,77m",,-,2002
13,Andriy Guzenko,Irtysh Pavlodar,Midfielder,6,"Feb 19, 1973 (28)",,"1,80m",,-,2002
14,Sergey Kalabukhin,Irtysh Pavlodar,Midfielder,8,"Apr 29, 1972 (29)",,"1,73m",right,-,2002
15,Andrey Kucheryavykh,Irtysh Pavlodar,Midfielder,9,"Sep 24, 1970 (31)",,"1,77m",,-,2002
16,Sergey Skorykh,Irtysh Pavlodar,Defensive Midfield,10,"May 25, 1984 (17)",,"1,84m",right,-,2002
17,Aleksey Zakharov,Irtysh Pavlodar,Midfielder,12,"Apr 27, 1974 (27)",,"1,78m",,-,2002
18,Evgeniy Meshkov,Irtysh Pavlodar,Defensive Midfield,19,"Sep 3, 1984 (17)",,"1,80m",right,-,2002
19,Sergey Ivanov,Irtysh Pavlodar,Central Midfield,22,"May 30, 1980 (21)",,"1,78m",right,-,2002
20,Egidijus Juska,Irtysh Pavlodar,Attacking Midfield,15,"Mar 12, 1975 (26)",,"1,81m",right,-,2002
21,Igor Chumachenko,Irtysh Pavlodar,Attacking Midfield,22,"Oct 26, 1976 (25)",,"1,84m",both,-,2002
22,Viktor Zubarev,Irtysh Pavlodar,Centre-Forward,11,"Apr 10, 1973 (28)",,"1,98m",,-,2002
23,Andrius Velicka,Irtysh Pavlodar,Centre-Forward,11,"Apr 5, 1979 (22)",,"1,83m",right,-,2002
