,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Kirill Pryadkin,Irtysh Pavlodar,Goalkeeper,-,"Jul 6, 1977 (23)",,"1,85m",right,-,2001
1,Dmitriy Dralov,Irtysh Pavlodar,Goalkeeper,-,"Jun 22, 1984 (16)",,"1,87m",,-,2001
2,Yuriy Novikov,Irtysh Pavlodar,Goalkeeper,-,"May 19, 1972 (28)",,-,,-,2001
3,Nurmat Mirzabaev,Irtysh Pavlodar,Defender,-,"Nov 11, 1972 (28)",,"1,76m",,-,2001
4,Denis Proskurin,Irtysh Pavlodar,Defender,-,"Apr 3, 1979 (21)",,"1,75m",,-,2001
5,Bagdat Dostaev,Irtysh Pavlodar,Defender,-,"Jun 6, 1979 (21)",,"1,80m",,-,2001
6,Vyacheslav Fedorov,Irtysh Pavlodar,Defender,-,"Jan 31, 1969 (31)",,"1,77m",,-,2001
7,Farkhadbek Irismetov,Irtysh Pavlodar,Centre-Back,-,"Aug 10, 1981 (19)",,"1,83m",right,-,2001
8,Kairat Nurdauletov,Irtysh Pavlodar,Centre-Back,-,"Nov 6, 1982 (18)",,"1,84m",right,-,2001
9,Vladislav Ternavskiy,Irtysh Pavlodar,Centre-Back,-,"May 2, 1969 (31)",,"1,85m",both,-,2001
10,Denis Shchetkin,Irtysh Pavlodar,Centre-Back,-,"Sep 14, 1982 (18)",,"1,85m",right,-,2001
11,Vladyslav Zubkov,Irtysh Pavlodar,Centre-Back,-,"Apr 8, 1971 (29)",,"1,86m",,-,2001
12,Sergey Timofeev,Irtysh Pavlodar,Left-Back,-,"Mar 5, 1965 (35)",,N/Am,N/A,-,2001
13,Fevzi Davletov,Irtysh Pavlodar,Left-Back,-,"Sep 20, 1972 (28)",,"1,72m",right,-,2001
14,Serik Zheylitbaev,Irtysh Pavlodar,Midfielder,-,"Aug 23, 1974 (26)",,"1,77m",,-,2001
15,Evgeniy Meshkov,Irtysh Pavlodar,Defensive Midfield,-,"Sep 3, 1984 (16)",,"1,80m",right,-,2001
16,Roman Vorogovskiy,Irtysh Pavlodar,Midfielder,-,"Jan 3, 1973 (27)",,"1,70m",,-,2001
17,Andriy Annenkov,Irtysh Pavlodar,Defensive Midfield,-,"Jan 21, 1969 (31)",,"1,82m",,-,2001
18,Andrey Kucheryavykh,Irtysh Pavlodar,Midfielder,-,"Sep 24, 1970 (30)",,"1,77m",,-,2001
19,Sergey Kalabukhin,Irtysh Pavlodar,Midfielder,-,"Apr 29, 1972 (28)",,"1,73m",right,-,2001
20,Egidijus Juska,Irtysh Pavlodar,Attacking Midfield,-,"Mar 12, 1975 (25)",,"1,81m",right,-,2001
21,Viktor Zubarev,Irtysh Pavlodar,Centre-Forward,-,"Apr 10, 1973 (27)",,"1,98m",,-,2001
22,Didarklych Urazov,Irtysh Pavlodar,Striker,-,"Feb 27, 1977 (23)",,"1,68m",,-,2001
23,Aleksandr Shatskikh,Irtysh Pavlodar,Centre-Forward,-,"Jan 21, 1974 (26)",,"1,80m",right,-,2001
24,Vasili Prosekov,Irtysh Pavlodar,Centre-Forward,-,"Oct 31, 1983 (17)",,"1,77m",right,-,2001
25,Rustam Usmanov,Irtysh Pavlodar,Striker,-,"Jan 30, 1977 (23)",,-,,-,2001
26,David Loria,Zhenis Astana,Goalkeeper,-,"Oct 31, 1981 (19)",,"1,83m",right,-,2001
27,Aleksandr Mokin,Zhenis Astana,Goalkeeper,-,"Jun 19, 1981 (19)",,"1,94m",right,-,2001
28,Pavel Bugalo,Zhenis Astana,Goalkeeper,-,"Aug 21, 1974 (26)",,"1,85m",right,-,2001
29,Goran Dragicevic,Zhenis Astana,Defender,-,"Dec 6, 1974 (26)",,-,,-,2001
30,Aleksey Lisitsyn,Zhenis Astana,Defender,-,"Feb 6, 1985 (15)",,"1,74m",,-,2001
31,Egor Azovskiy,Zhenis Astana,Centre-Back,-,"Jan 10, 1985 (15)",,"1,87m",right,-,2001
32,Maksim Zhalmagambetov,Zhenis Astana,Centre-Back,-,"Jul 11, 1983 (17)",,"1,95m",right,-,2001
33,Artur Belotserkovets,Zhenis Astana,Centre-Back,-,"Jan 29, 1972 (28)",,"1,80m",right,-,2001
34,Maksim Zabelin,Zhenis Astana,Centre-Back,-,"Feb 4, 1977 (23)",,"1,87m",left,-,2001
35,Ilya Fomichev,Zhenis Astana,Centre-Back,-,"Aug 14, 1982 (18)",,"1,94m",right,-,2001
36,Igor Avdeev,Zhenis Astana,Centre-Back,-,"Jan 10, 1973 (27)",,"1,82m",right,-,2001
37,Dmitriy Kishchenko,Zhenis Astana,Centre-Back,-,"Mar 29, 1979 (21)",,"1,84m",,-,2001
38,Sergey Kirov,Zhenis Astana,Centre-Back,-,"Feb 4, 1978 (22)",,"1,83m",,-,2001
39,Igor Soloshenko,Zhenis Astana,Left-Back,-,"May 22, 1979 (21)",,"1,81m",left,-,2001
40,Anton Chichulin,Zhenis Astana,Right-Back,-,"Oct 27, 1984 (16)",,"1,82m",right,-,2001
41,Sergey Kozyulin,Zhenis Astana,Right-Back,-,"Aug 2, 1980 (20)",,"1,80m",right,-,2001
