,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Marko Milosevic,FC Astana,Goalkeeper,-,"Feb 7, 1991 (30)",,"1,87m",right,€450k,2022
1,Aleksandr Zarutskiy,FC Astana,Goalkeeper,55,"Aug 26, 1993 (28)",,"1,92m",right,€400k,2022
2,Josip Condric,FC Astana,Goalkeeper,93,"Aug 27, 1993 (28)",,"1,94m",right,€350k,2022
3,Danil Podymskiy,FC Astana,Goalkeeper,31,"Jun 5, 1998 (23)",,"1,90m",right,€50k,2022
4,Aleksa Amanovic,FC Astana,Centre-Back,45,"Oct 24, 1996 (25)",,"1,87m",left,€1.30m,2022
5,Varazdat Haroyan,FC Astana,Centre-Back,3,"Aug 24, 1992 (29)",,"1,85m",right,€1.20m,2022
6,Aleksandr Marochkin,FC Astana,Centre-Back,22,"Jul 14, 1990 (31)",,"1,91m",right,€700k,2022
7,Denis Polyakov,FC Astana,Centre-Back,-,"Apr 17, 1991 (30)",,"1,84m",right,€600k,2022
8,Zarko Tomasevic,FC Astana,Centre-Back,33,"Feb 22, 1990 (31)",,"1,90m",left,€500k,2022
9,Danylo Beskorovaynyi,FC Astana,Centre-Back,-,"Feb 7, 1999 (22)",,"1,94m",left,€350k,2022
10,Artem Rakhmanov,FC Astana,Centre-Back,-,"Jul 10, 1990 (31)",,"1,95m",right,€300k,2022
11,Talgat Kusyapov,FC Astana,Centre-Back,-,"Feb 14, 1999 (22)",,"1,86m",left,€300k,2022
12,Yuriy Akhanov,FC Astana,Centre-Back,94,"Jul 31, 2002 (19)",,"1,85m",left,€25k,2022
13,Yan Vorogovskiy,FC Astana,Left-Back,6,"Aug 7, 1996 (25)",,"1,82m",left,€750k,2022
14,Bryan,FC Astana,Left-Back,-,"Mar 28, 1992 (29)",,"1,77m",left,€500k,2022
15,Timur Dosmagambetov,FC Astana,Left-Back,27,"May 1, 1989 (32)",,"1,72m",left,€350k,2022
16,Sagi Sovet,FC Astana,Left-Back,-,"Mar 15, 2000 (21)",,"1,75m",left,€200k,2022
17,Timur Tokenov,FC Astana,Left-Back,52,"Apr 24, 2004 (17)",,"1,75m",right,-,2022
18,Sanzhar Anuarov,FC Astana,Left-Back,71,"Feb 16, 2005 (16)",,"1,76m",right,-,2022
19,Aydos Kumarov,FC Astana,Left-Back,73,"Feb 27, 2002 (19)",,"1,75m",left,-,2022
20,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (29)",,"1,87m",right,€1.40m,2022
21,Kamo Hovhannisyan,FC Astana,Right-Back,13,"Oct 5, 1992 (29)",,"1,76m",right,€900k,2022
22,Mikhail Gabyshev,FC Astana,Right-Back,5,"Jan 2, 1990 (31)",,"1,85m",right,€200k,2022
23,Islambek Kuat,FC Astana,Defensive Midfield,8,"Jan 12, 1993 (28)",,"1,79m",right,€1.00m,2022
24,Dusan Jovancic,FC Astana,Defensive Midfield,29,"Oct 19, 1990 (31)",,"1,86m",right,€800k,2022
25,Salamat Zhumabekov,FC Astana,Defensive Midfield,79,"Jan 25, 2004 (17)",,"1,85m",right,-,2022
26,Stjepan Loncar,FC Astana,Central Midfield,44,"Nov 10, 1996 (25)",,"1,87m",left,€2.50m,2022
27,Maks Ebong,FC Astana,Central Midfield,7,"Aug 26, 1999 (22)",,"1,80m",right,€1.00m,2022
28,Yuriy Pertsukh,FC Astana,Central Midfield,-,"May 13, 1996 (25)",,"1,86m",right,€500k,2022
29,Sultan Sagnaev,FC Astana,Central Midfield,-,"Jan 14, 2000 (21)",,"1,72m",right,€250k,2022
30,Aslan Darabaev,FC Astana,Central Midfield,11,"Jan 21, 1989 (32)",,"1,79m",right,€250k,2022
31,Valikhan Tyulyupov,FC Astana,Central Midfield,85,"Feb 10, 2002 (19)",,"1,78m",right,-,2022
32,Jérémy Manzorro,FC Astana,Attacking Midfield,-,"Nov 11, 1991 (30)",,"1,73m",right,€700k,2022
33,Elkhan Astanov,FC Astana,Left Winger,21,"May 21, 2000 (21)",,"1,86m",right,€350k,2022
34,Fabien Ourega,FC Astana,Left Winger,23,"Dec 7, 1992 (29)",,"1,78m",right,€350k,2022
35,Ruslan Kirgetov,FC Astana,Left Winger,90,"Jul 7, 2002 (19)",,"1,74m",both,-,2022
36,Marin Tomasov,FC Astana,Right Winger,10,"Aug 31, 1987 (34)",,"1,84m",left,€750k,2022
37,Igor Ivanovic,FC Astana,Right Winger,30,"Jul 28, 1997 (24)",,"1,75m",left,€750k,2022
38,Pedro Eugénio,FC Astana,Right Winger,-,"Jun 26, 1990 (31)",,"1,72m",right,€500k,2022
39,Stanislav Basmanov,FC Astana,Right Winger,72,"Jun 24, 2001 (20)",,"1,79m",right,€150k,2022
40,Nurali Zhaksylyk,FC Astana,Right Winger,97,"Nov 4, 2004 (17)",,"1,81m",left,-,2022
41,Dembo Darboe,FC Astana,Centre-Forward,88,"Aug 17, 1998 (23)",,"1,87m",right,€2.50m,2022
42,Rai Vloet,FC Astana,Centre-Forward,-,"May 8, 1995 (26)",,"1,88m",right,€1.30m,2022
43,Abat Aymbetov,FC Astana,Centre-Forward,17,"Aug 7, 1995 (26)",,"1,84m",right,€900k,2022
44,Vladislav Prokopenko,FC Astana,Centre-Forward,20,"Jul 1, 2000 (21)",,"1,80m",right,€200k,2022
45,Andrey Berezutskiy,FC Astana,Centre-Forward,53,"Jan 30, 2004 (17)",,"1,90m",right,-,2022
46,Batyrkhan Mustafin,FC Astana,Centre-Forward,96,"Mar 26, 2005 (16)",,"1,85m",right,-,2022
47,Mukhammedzhan Seysen,Ordabasy Shymkent,Goalkeeper,74,"Feb 14, 1999 (22)",,"1,90m",right,€600k,2022
48,Bekkhan Shayzada,Ordabasy Shymkent,Goalkeeper,1,"Feb 28, 1998 (23)",,"1,88m",right,€350k,2022
49,Kazhymukan Tolepbergen,Ordabasy Shymkent,Goalkeeper,13,"Apr 21, 2000 (21)",,"1,85m",,€100k,2022
50,Sergey Maliy,Ordabasy Shymkent,Centre-Back,25,"Jun 5, 1990 (31)",,"1,91m",right,€1.00m,2022
51,Temirlan Erlanov,Ordabasy Shymkent,Centre-Back,23,"Jul 9, 1993 (28)",,"1,90m",right,€900k,2022
52,Mamadou Mbodj,Ordabasy Shymkent,Centre-Back,26,"Mar 12, 1993 (28)",,"1,89m",right,€500k,2022
53,Bernardo Matic,Ordabasy Shymkent,Centre-Back,27,"Jul 27, 1994 (27)",,"1,94m",right,€300k,2022
54,Alikhan Uteshev,Ordabasy Shymkent,Centre-Back,16,"Jun 13, 2003 (18)",,"1,83m",right,-,2022
55,Gafurzhan Suyumbaev,Ordabasy Shymkent,Left-Back,5,"Aug 19, 1990 (31)",,"1,75m",left,€650k,2022
56,Auro,Ordabasy Shymkent,Right-Back,96,"Jan 23, 1996 (25)",,"1,68m",right,€1.00m,2022
57,Sultanbek Astanov,Ordabasy Shymkent,Right-Back,22,"Mar 23, 1999 (22)",,"1,79m",right,€400k,2022
58,Yevgen Makarenko,Ordabasy Shymkent,Defensive Midfield,19,"May 21, 1991 (30)",,"1,86m",left,€1.20m,2022
59,Duman Narzildaev,Ordabasy Shymkent,Defensive Midfield,6,"Sep 6, 1993 (28)",,"1,78m",right,€500k,2022
60,Radosav Petrovic,Ordabasy Shymkent,Defensive Midfield,15,"Mar 8, 1989 (32)",,"1,93m",right,€400k,2022
61,Askhat Tagybergen,Ordabasy Shymkent,Central Midfield,8,"Aug 9, 1990 (31)",,"1,79m",right,€750k,2022
62,Murodzhon Khalmatov,Ordabasy Shymkent,Central Midfield,14,"Jul 20, 2003 (18)",,"1,79m",both,€100k,2022
63,Victor Braga,Ordabasy Shymkent,Central Midfield,12,"Apr 18, 2001 (20)",,"1,75m",left,-,2022
64,Bauyrzhan Islamkhan,Ordabasy Shymkent,Attacking Midfield,9,"Feb 23, 1993 (28)",,"1,74m",right,€1.00m,2022
