,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,David Loria,Shakhter Karaganda,Goalkeeper,-,"Oct 31, 1981 (25)",,"1,83m",right,-,2007
1,Aleksandr Grigorenko,Shakhter Karaganda,Goalkeeper,-,"Feb 6, 1985 (21)",,"1,82m",right,-,2007
2,Sergiy Sarana,Shakhter Karaganda,Goalkeeper,-,"Dec 7, 1978 (28)",,"1,86m",,-,2007
3,Igor Shatskiy,Shakhter Karaganda,Goalkeeper,-,"May 11, 1989 (17)",,"1,85m",right,-,2007
4,Daniel Brezny,Shakhter Karaganda,Defender,-,"Dec 19, 1977 (29)",,"1,83m",,€350k,2007
5,Bauyrzhan Naurzbaev,Shakhter Karaganda,Defender,-,"May 8, 1987 (19)",,-,right,-,2007
6,Evgeniy Panashchenko,Shakhter Karaganda,Defender,-,"Apr 27, 1988 (18)",,"1,86m",,-,2007
7,Denis Volodin,Shakhter Karaganda,Centre-Back,-,"Jul 11, 1982 (24)",,"1,88m",right,€50k,2007
8,Aleksandr Kislitsyn,Shakhter Karaganda,Centre-Back,-,"Mar 8, 1986 (20)",,"1,89m",right,-,2007
9,Evgeni Azamatov,Shakhter Karaganda,Centre-Back,-,"Mar 21, 1990 (16)",,"1,87m",right,-,2007
10,Oleg Kornienko,Shakhter Karaganda,Centre-Back,15,"May 28, 1973 (33)",,"1,82m",right,-,2007
11,Veaceslav Rusnac,Shakhter Karaganda,Left-Back,-,"Aug 27, 1975 (31)",,"1,75m",left,-,2007
12,Maksim Samchenko,Shakhter Karaganda,Left-Back,-,"May 5, 1979 (27)",,"1,80m",left,-,2007
13,Igor Soloshenko,Shakhter Karaganda,Left-Back,-,"May 22, 1979 (27)",,"1,81m",left,-,2007
14,Ilnur Mangutkin,Shakhter Karaganda,Left-Back,-,"Sep 16, 1986 (20)",,"1,76m",right,-,2007
15,Sasa Djordjevic,Shakhter Karaganda,Right-Back,2,"Aug 4, 1981 (25)",,"1,86m",right,-,2007
16,Mikhail Glushko,Shakhter Karaganda,Defensive Midfield,-,"Jan 3, 1984 (22)",,"1,86m",right,-,2007
17,Zhasulan Kusainov,Shakhter Karaganda,Midfielder,-,"Dec 23, 1989 (17)",,-,,-,2007
18,Stanislav Tarasov,Shakhter Karaganda,Midfielder,-,"Jan 4, 1988 (18)",,"1,83m",,-,2007
19,Lasha Nozadze,Shakhter Karaganda,Central Midfield,-,"Mar 18, 1980 (26)",,"1,80m",right,-,2007
20,Viktor Kozhushko,Shakhter Karaganda,Central Midfield,-,"Feb 3, 1981 (25)",,"1,75m",right,-,2007
21,Aslan Darabaev,Shakhter Karaganda,Central Midfield,-,"Jan 21, 1989 (17)",,"1,79m",right,-,2007
22,Dmitriy Byakov,Shakhter Karaganda,Right Midfield,-,"Apr 9, 1978 (28)",,"1,76m",right,-,2007
23,Evgeniy Lovchev,Shakhter Karaganda,Right Midfield,-,"Aug 6, 1975 (31)",,"1,79m",right,-,2007
24,Kairat Ashirbekov,Shakhter Karaganda,Attacking Midfield,-,"Oct 21, 1982 (24)",,"1,72m",left,-,2007
25,Shpëtim Babaj,Shakhter Karaganda,Attacking Midfield,-,"Dec 9, 1981 (25)",,"1,78m",right,-,2007
26,Eduard Sergienko,Shakhter Karaganda,Right Winger,-,"Feb 18, 1983 (23)",,"1,81m",both,-,2007
27,Ruslan Kenetaev,Shakhter Karaganda,Right Winger,-,"Mar 21, 1988 (18)",,"1,73m",right,-,2007
28,Milan Pacanda,Shakhter Karaganda,Striker,-,"Feb 28, 1978 (28)",,"1,72m",both,€1.15m,2007
29,Levan Melkadze,Shakhter Karaganda,Centre-Forward,-,"Dec 12, 1979 (27)",,"1,86m",,€350k,2007
30,Pavel Veleba,Shakhter Karaganda,Centre-Forward,-,"Oct 6, 1976 (30)",,N/Am,N/A,-,2007
31,Andrey Finonchenko,Shakhter Karaganda,Centre-Forward,-,"Jun 21, 1982 (24)",,"1,77m",right,-,2007
32,Murat Suyumagambetov,Shakhter Karaganda,Centre-Forward,-,"Oct 14, 1983 (23)",,"1,81m",right,-,2007
33,Sergey Schaff,Shakhter Karaganda,Centre-Forward,-,"Apr 15, 1988 (18)",,"1,87m",right,-,2007
34,Mihails Miholaps,Shakhter Karaganda,Centre-Forward,-,"Aug 24, 1974 (32)",,N/Am,N/A,-,2007
35,Margulan Erikov,Shakhter Karaganda,Striker,-,"Feb 2, 1988 (18)",,-,,-,2007
36,Ivan Peric,Shakhter Karaganda,Centre-Forward,33,"May 5, 1982 (24)",,"1,89m",right,-,2007
37,Denis Tolebaev,MegaSport Almaty (-2008),Goalkeeper,-,"Feb 7, 1987 (19)",,"2,05m",right,-,2007
38,Evgeniy Naboychenko,MegaSport Almaty (-2008),Goalkeeper,1,"May 17, 1970 (36)",,"1,81m",,-,2007
39,Evgeni Safonov,MegaSport Almaty (-2008),Goalkeeper,31,"Jul 6, 1977 (29)",,"1,99m",,-,2007
40,Nikolay Rodionov,MegaSport Almaty (-2008),Goalkeeper,33,"Aug 4, 1976 (30)",,"1,90m",right,-,2007
41,Ilyas Ayupov,MegaSport Almaty (-2008),Defender,-,"Jun 20, 1989 (17)",,"1,81m",,-,2007
42,Erzhan Sadakin,MegaSport Almaty (-2008),Defender,-,"Apr 26, 1987 (19)",,"1,88m",,-,2007
43,Vladislav Masimov,MegaSport Almaty (-2008),Defender,3,"May 20, 1988 (18)",,"1,80m",,-,2007
44,Bakhitzhon Tadzhiboev,MegaSport Almaty (-2008),Defender,17,"May 6, 1987 (19)",,"1,80m",right,-,2007
45,Dmitriy Bychkov,MegaSport Almaty (-2008),Defender,27,"Jul 18, 1989 (17)",,"1,86m",,-,2007
46,Raso Babic,MegaSport Almaty (-2008),Centre-Back,-,"Jul 7, 1977 (29)",,"1,82m",,-,2007
47,Konstantin Gorovenko,MegaSport Almaty (-2008),Centre-Back,2,"Jan 10, 1977 (29)",,"1,89m",right,-,2007
48,Boris Polyakov,MegaSport Almaty (-2008),Centre-Back,44,"Dec 8, 1976 (30)",,"1,84m",right,-,2007
49,Vladimir Berikbaev,MegaSport Almaty (-2008),Left-Back,11,"Feb 27, 1988 (18)",,"1,82m",left,-,2007
50,Oleg Sabirov,MegaSport Almaty (-2008),Left-Back,13,"Mar 13, 1978 (28)",,"1,81m",right,-,2007
51,Fevzi Davletov,MegaSport Almaty (-2008),Left-Back,20,"Sep 20, 1972 (34)",,"1,72m",right,-,2007
52,Kairat Utabaev,MegaSport Almaty (-2008),Right-Back,4,"Jul 16, 1980 (26)",,"1,82m",both,-,2007
53,Roman Duplyakin,MegaSport Almaty (-2008),Right-Back,-,"Jun 23, 1987 (19)",,"1,86m",right,-,2007
54,Serik Sagyndykov,MegaSport Almaty (-2008),Right-Back,18,"Jan 9, 1984 (22)",,"1,80m",right,-,2007
55,Timur Khalmuratov,MegaSport Almaty (-2008),Right-Back,77,"Apr 29, 1986 (20)",,"1,85m",right,-,2007
56,Erbolat Sydykov,MegaSport Almaty (-2008),Midfielder,-,"Nov 7, 1973 (33)",,"1,76m",,-,2007
57,Roman Vorogovskiy,MegaSport Almaty (-2008),Midfielder,5,"Jan 3, 1973 (33)",,"1,70m",,-,2007
58,Vitaliy Kitsak,MegaSport Almaty (-2008),Midfielder,6,"Oct 16, 1975 (31)",,"1,75m",,-,2007
59,Pavel Maltsev,MegaSport Almaty (-2008),Midfielder,8,"Sep 18, 1981 (25)",,"1,74m",,-,2007
60,Raim Musaev,MegaSport Almaty (-2008),Midfielder,9,"May 9, 1988 (18)",,"1,80m",,-,2007
61,Kanat Bolatov,MegaSport Almaty (-2008),Midfielder,14,"Jan 28, 1990 (16)",,"1,82m",,-,2007
62,Madiyar Muminov,MegaSport Almaty (-2008),Defensive Midfield,16,"Oct 18, 1980 (26)",,"1,88m",right,-,2007
63,Aleksey Klishin,MegaSport Almaty (-2008),Midfielder,17,"Jan 1, 1973 (33)",,N/Am,N/A,-,2007
64,Dmitriy Romanovskiy,MegaSport Almaty (-2008),Midfielder,32,"Jan 27, 1989 (17)",,"1,74m",,-,2007
65,Zhandos Orazaliev,MegaSport Almaty (-2008),Midfielder,88,"Oct 3, 1985 (21)",,"1,88m",,-,2007
66,Ramil Akbarov,MegaSport Almaty (-2008),Left Midfield,-,"Jan 17, 1987 (19)",,"1,71m",left,-,2007
67,Igor Matic,MegaSport Almaty (-2008),Attacking Midfield,81,"Jul 22, 1981 (25)",,"1,76m",left,€400k,2007
68,Ruslan Sakhalbaev,MegaSport Almaty (-2008),Attacking Midfield,7,"Jun 27, 1984 (22)",,"1,68m",right,-,2007
69,Marko Mitrovic,MegaSport Almaty (-2008),Attacking Midfield,12,"Jul 8, 1978 (28)",,"1,80m",right,-,2007
70,Sergey Mataganov,MegaSport Almaty (-2008),Striker,-,"Sep 10, 1979 (27)",,"1,82m",,-,2007
71,Sergiy Ditkovskyi,MegaSport Almaty (-2008),Centre-Forward,7,"Apr 16, 1979 (27)",,"1,83m",,-,2007
72,Daniyar Khasenov,MegaSport Almaty (-2008),Centre-Forward,10,"Aug 1, 1976 (30)",,"1,81m",right,-,2007
73,Aleksandr Shatskikh,MegaSport Almaty (-2008),Centre-Forward,15,"Jan 21, 1974 (32)",,"1,80m",right,-,2007
74,Aleksandr Krokhmal,MegaSport Almaty (-2008),Centre-Forward,23,"Nov 22, 1977 (29)",,"1,80m",right,-,2007
75,Denis Tolebaev,Kairat Almaty,Goalkeeper,-,"Feb 7, 1987 (19)",,"2,05m",right,-,2007
76,Andrey Tsvetkov,Kairat Almaty,Goalkeeper,-,"Mar 20, 1980 (26)",,"1,91m",right,-,2007
77,Didar Zhamenkeev,Kairat Almaty,Goalkeeper,-,"Jan 7, 1992 (14)",,-,,-,2007
78,Sergey Stepanenko,Kairat Almaty,Goalkeeper,16,"Jan 25, 1981 (25)",,"1,88m",right,-,2007
79,Ilya Feldman,Kairat Almaty,Defender,-,"Oct 1, 1988 (18)",,"1,82m",,-,2007
80,Timur Kasymov,Kairat Almaty,Defender,-,"Mar 1, 1989 (17)",,"1,78m",,-,2007
81,Stanislav Fendrikov,Kairat Almaty,Defender,-,"Oct 17, 1987 (19)",,-,,-,2007
82,Renat Abdulin,Kairat Almaty,Centre-Back,-,"Apr 14, 1982 (24)",,"1,85m",right,-,2007
83,Evgeniy Nokhrin,Kairat Almaty,Centre-Back,-,"Mar 23, 1988 (18)",,"1,86m",right,-,2007
84,Igor Avdeev,Kairat Almaty,Centre-Back,-,"Jan 10, 1973 (33)",,"1,82m",right,-,2007
85,Damir Dautov,Kairat Almaty,Centre-Back,-,"Mar 3, 1990 (16)",,"1,87m",right,-,2007
86,Sergey Kaputin,Kairat Almaty,Centre-Back,-,"Aug 22, 1983 (23)",,"1,85m",,-,2007
87,Darko Rakocevic,Kairat Almaty,Centre-Back,4,"Sep 13, 1981 (25)",,"1,86m",left,-,2007
88,Petar Stanisic,Kairat Almaty,Centre-Back,22,"Sep 23, 1984 (22)",,"1,80m",right,-,2007
89,Kairat Utabaev,Kairat Almaty,Right-Back,4,"Jul 16, 1980 (26)",,"1,82m",both,-,2007
90,Zakhar Korobov,Kairat Almaty,Right-Back,-,"May 18, 1988 (18)",,"1,77m",right,-,2007
91,Talgat Adyrbekov,Kairat Almaty,Right-Back,-,"Jan 26, 1989 (17)",,"1,78m",right,-,2007
92,Viktor Kryukov,Kairat Almaty,Right-Back,-,"Jun 30, 1990 (16)",,"1,70m",right,-,2007
93,Abzal Beysebekov,Kairat Almaty,Right-Back,-,"Nov 30, 1992 (14)",,"1,87m",right,-,2007
94,Serik Zheylitbaev,Kairat Almaty,Midfielder,-,"Aug 23, 1974 (32)",,"1,77m",,-,2007
95,Piraly Aliev,Kairat Almaty,Defensive Midfield,-,"Jan 13, 1984 (22)",,"1,80m",right,-,2007
96,Erlen Bekmukhaev,Kairat Almaty,Defensive Midfield,-,"Feb 25, 1985 (21)",,"1,83m",right,-,2007
97,Rakhman Asukhanov,Kairat Almaty,Midfielder,-,"May 1, 1973 (33)",,"1,68m",,-,2007
98,Alibek Bakibaev,Kairat Almaty,Midfielder,-,"Apr 3, 1990 (16)",,"1,82m",,-,2007
99,Sinisa Brankovic,Kairat Almaty,Central Midfield,8,"Jan 31, 1979 (27)",,"1,84m",right,€100k,2007
