,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,David Loria,Zhenis Astana,Goalkeeper,-,"Oct 31, 1981 (18)",,"1,83m",right,-,2000
1,Evgeniy Chinenov,Zhenis Astana,Goalkeeper,-,"Apr 4, 1975 (24)",,"1,98m",,-,2000
2,Aleksandr Moskalenko,Zhenis Astana,Defender,-,"Sep 18, 1976 (23)",,"1,83m",,-,2000
3,Dmitri Veremchuk,Zhenis Astana,Defender,-,"Dec 8, 1976 (23)",,"1,82m",,-,2000
4,Modeste Fomen,Zhenis Astana,Defender,-,"Mar 14, 1977 (22)",,"1,77m",,-,2000
5,Luciano Pereira,Zhenis Astana,Defender,-,"Jul 11, 1977 (22)",,-,,-,2000
6,Oleg Kornienko,Zhenis Astana,Centre-Back,-,"May 28, 1973 (26)",,"1,82m",right,-,2000
7,Oleg Lotov,Zhenis Astana,Centre-Back,-,"Nov 21, 1975 (24)",,"1,84m",right,-,2000
8,Maksim Zabelin,Zhenis Astana,Centre-Back,-,"Feb 4, 1977 (22)",,"1,87m",left,-,2000
9,Dmitriy Varfolomeev,Zhenis Astana,Centre-Back,-,"Mar 15, 1978 (21)",,"1,78m",,-,2000
10,Igor Soloshenko,Zhenis Astana,Left-Back,-,"May 22, 1979 (20)",,"1,81m",left,-,2000
11,Yuriy Aksenov,Zhenis Astana,Left-Back,-,"Aug 11, 1973 (26)",,"1,74m",,-,2000
12,Sergey Neretin,Zhenis Astana,Right-Back,-,"Jan 16, 1980 (19)",,"1,84m",right,-,2000
13,Sergey Kozyulin,Zhenis Astana,Right-Back,-,"Aug 2, 1980 (19)",,"1,80m",right,-,2000
14,Avua-Siav Leo Nelson,Zhenis Astana,Defensive Midfield,-,"Aug 8, 1980 (19)",,"1,87m",right,-,2000
15,Aleksey Khodykin,Zhenis Astana,Midfielder,-,"Mar 13, 1976 (23)",,"1,82m",,-,2000
16,Artur Martens,Zhenis Astana,Midfielder,-,"May 13, 1976 (23)",,"1,82m",,-,2000
17,Pavel Evteev,Zhenis Astana,Defensive Midfield,-,"Jun 28, 1967 (32)",,"1,77m",,-,2000
18,Yuriy Gura,Zhenis Astana,Midfielder,-,"Aug 8, 1976 (23)",,"1,84m",,-,2000
19,Amiran Gigolaev,Zhenis Astana,Midfielder,-,"Sep 30, 1984 (15)",,"1,75m",,-,2000
