,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,David Loria,Lokomotiv Astana,Goalkeeper,-,"Oct 31, 1981 (26)",,"1,83m",right,-,2008
1,Roman Nesterenko,Lokomotiv Astana,Goalkeeper,-,"Mar 22, 1977 (30)",,"1,99m",right,-,2008
2,Evgeniy Naboychenko,Lokomotiv Astana,Goalkeeper,-,"May 17, 1970 (37)",,"1,81m",,-,2008
3,Denis Tolebaev,Lokomotiv Astana,Goalkeeper,-,"Feb 7, 1987 (20)",,"2,05m",right,-,2008
4,Patrick Ovie,Lokomotiv Astana,Centre-Back,-,"Jun 2, 1978 (29)",,"1,82m",left,€2.00m,2008
5,Eduard Valuta,Lokomotiv Astana,Centre-Back,-,"Apr 9, 1979 (28)",,"1,85m",left,-,2008
6,Renat Abdulin,Lokomotiv Astana,Centre-Back,-,"Apr 14, 1982 (25)",,"1,85m",right,-,2008
7,Igor Avdeev,Lokomotiv Astana,Centre-Back,-,"Jan 10, 1973 (34)",,"1,82m",right,-,2008
8,Damir Dautov,Lokomotiv Astana,Centre-Back,-,"Mar 3, 1990 (17)",,"1,87m",right,-,2008
9,Maksim Samchenko,Lokomotiv Astana,Left-Back,-,"May 5, 1979 (28)",,"1,80m",left,-,2008
10,Zakhar Korobov,Lokomotiv Astana,Right-Back,-,"May 18, 1988 (19)",,"1,77m",right,-,2008
11,Talgat Adyrbekov,Lokomotiv Astana,Right-Back,-,"Jan 26, 1989 (18)",,"1,78m",right,-,2008
12,Abzal Beysebekov,Lokomotiv Astana,Right-Back,-,"Nov 30, 1992 (15)",,"1,87m",right,-,2008
13,Andrey Karpovich,Lokomotiv Astana,Defensive Midfield,-,"Jan 18, 1981 (26)",,"1,77m",both,€500k,2008
14,Madiyar Muminov,Lokomotiv Astana,Defensive Midfield,-,"Oct 18, 1980 (27)",,"1,88m",right,-,2008
15,Sergey Larin,Lokomotiv Astana,Central Midfield,-,"Jul 22, 1986 (21)",,"1,83m",right,-,2008
16,Maksat Bayzhanov,Lokomotiv Astana,Central Midfield,-,"Aug 6, 1984 (23)",,"1,80m",right,-,2008
17,Marat Shakhmetov,Lokomotiv Astana,Central Midfield,-,"Feb 6, 1989 (18)",,"1,82m",right,-,2008
18,Roman Pakholyuk,Lokomotiv Astana,Right Midfield,-,"Oct 3, 1979 (28)",,"1,75m",right,-,2008
19,Zhambyl Kukeev,Lokomotiv Astana,Left Midfield,-,"Sep 20, 1988 (19)",,"1,77m",both,-,2008
20,Egor Titov,Lokomotiv Astana,Attacking Midfield,-,"May 29, 1976 (31)",,"1,86m",both,€4.25m,2008
21,Andrey Tikhonov,Lokomotiv Astana,Attacking Midfield,-,"Oct 16, 1970 (37)",,"1,77m",both,€400k,2008
22,Marko Mitrovic,Lokomotiv Astana,Attacking Midfield,-,"Jul 8, 1978 (29)",,"1,80m",right,€200k,2008
23,Kairat Ashirbekov,Lokomotiv Astana,Attacking Midfield,-,"Oct 21, 1982 (25)",,"1,72m",left,-,2008
24,Ruslan Sakhalbaev,Lokomotiv Astana,Attacking Midfield,-,"Jun 27, 1984 (23)",,"1,68m",right,-,2008
25,Maksim Shatskikh,Lokomotiv Astana,Centre-Forward,-,"Aug 30, 1978 (29)",,"1,87m",right,€4.00m,2008
26,Murat Suyumagambetov,Lokomotiv Astana,Centre-Forward,-,"Oct 14, 1983 (24)",,"1,81m",right,-,2008
27,Daniyar Khasenov,Lokomotiv Astana,Centre-Forward,-,"Aug 1, 1976 (31)",,"1,81m",right,-,2008
28,Aleksandr Shatskikh,Lokomotiv Astana,Centre-Forward,-,"Jan 21, 1974 (33)",,"1,80m",right,-,2008
29,Kirill Pryadkin,Zhetysu Taldykorgan,Goalkeeper,-,"Jul 6, 1977 (30)",,"1,85m",right,-,2008
30,Grygoriy Krasovskyi,Zhetysu Taldykorgan,Goalkeeper,-,"Oct 8, 1982 (25)",,"1,84m",,-,2008
