,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Roman Nesterenko,FK Aktobe,Goalkeeper,-,"Mar 22, 1977 (26)",,"1,99m",right,-,2004
1,Andrey Tsvetkov,FK Aktobe,Goalkeeper,-,"Mar 20, 1980 (23)",,"1,91m",right,-,2004
2,Evgeniy Ovchinnikov,FK Aktobe,Goalkeeper,-,"Apr 11, 1985 (18)",,"1,83m",,-,2004
3,Georgiy Kolpakov,FK Aktobe,Defender,-,"Apr 18, 1979 (24)",,"1,85m",,-,2004
4,Erlan Shoytymov,FK Aktobe,Defender,-,"Apr 6, 1980 (23)",,"1,80m",,-,2004
5,Andriy Sokolenko,FK Aktobe,Centre-Back,-,"Jun 8, 1978 (25)",,"1,81m",,-,2004
6,Boris Polyakov,FK Aktobe,Centre-Back,-,"Dec 8, 1976 (27)",,"1,84m",right,-,2004
7,Oleksandr Stakhiv,FK Aktobe,Centre-Back,-,"Jan 13, 1981 (22)",,"1,90m",right,-,2004
8,Maksim Samchenko,FK Aktobe,Left-Back,-,"May 5, 1979 (24)",,"1,80m",left,-,2004
9,Anatoliy Malkov,FK Aktobe,Midfielder,-,"Jul 8, 1981 (22)",,"1,78m",right,-,2004
10,Anatoliy Bogdanov,FK Aktobe,Defensive Midfield,-,"Jun 7, 1981 (22)",,"1,86m",right,-,2004
11,Vitaliy Kitsak,FK Aktobe,Midfielder,-,"Oct 16, 1975 (28)",,"1,75m",,-,2004
12,Evgeniy Sveshnikov,FK Aktobe,Midfielder,-,"Oct 6, 1973 (30)",,N/Am,N/A,-,2004
13,Andrey Silyutin,FK Aktobe,Central Midfield,-,"Oct 1, 1976 (27)",,"1,83m",right,-,2004
14,Aleksey Osipov,FK Aktobe,Central Midfield,-,"Nov 2, 1975 (28)",,"1,70m",right,-,2004
15,Oleksandr Mitrofanov,FK Aktobe,Central Midfield,-,"Nov 1, 1977 (26)",,"1,72m",,-,2004
16,Kairat Ashirbekov,FK Aktobe,Attacking Midfield,-,"Oct 21, 1982 (21)",,"1,72m",left,-,2004
17,Iulian Bursuc,FK Aktobe,Attacking Midfield,-,"Sep 23, 1976 (27)",,"1,70m",,-,2004
18,Sergiy Ditkovskyi,FK Aktobe,Centre-Forward,-,"Apr 16, 1979 (24)",,"1,83m",,-,2004
19,Andriy Golovko,FK Aktobe,Centre-Forward,-,"Aug 5, 1977 (26)",,"1,94m",,-,2004
20,Oleksandr Bessarab,FK Aktobe,Striker,-,"Sep 13, 1978 (25)",,-,,-,2004
21,Vladimir Loginov,FK Aktobe,Centre-Forward,-,"Jan 5, 1974 (29)",,"1,84m",,-,2004
22,Igor Abdusheev,FK Aktobe,Striker,-,"Apr 13, 1985 (18)",,"1,74m",,-,2004
23,Sergey Boychenko,Kairat-Almaty KTZ,Goalkeeper,-,"Sep 27, 1977 (26)",,"1,98m",right,-,2004
24,Evgeniy Naboychenko,Kairat-Almaty KTZ,Goalkeeper,-,"May 17, 1970 (33)",,"1,81m",,-,2004
25,Ilya Yurov,Kairat-Almaty KTZ,Goalkeeper,-,"Sep 10, 1981 (22)",,"1,88m",right,-,2004
26,Farkhadbek Irismetov,Kairat-Almaty KTZ,Centre-Back,-,"Aug 10, 1981 (22)",,"1,83m",right,-,2004
27,Andrian Sosnovschi,Kairat-Almaty KTZ,Centre-Back,-,"Jun 13, 1977 (26)",,"1,91m",both,-,2004
28,Kairat Nurdauletov,Kairat-Almaty KTZ,Centre-Back,-,"Nov 6, 1982 (21)",,"1,84m",right,-,2004
29,Vitaliy Artemov,Kairat-Almaty KTZ,Centre-Back,-,"Feb 16, 1979 (24)",,"1,92m",both,-,2004
30,Renat Abdulin,Kairat-Almaty KTZ,Centre-Back,-,"Apr 14, 1982 (21)",,"1,85m",right,-,2004
31,Valeriy Likhobabenko,Kairat-Almaty KTZ,Centre-Back,-,"Feb 17, 1976 (27)",,"1,83m",left,-,2004
32,Yuriy Aksenov,Kairat-Almaty KTZ,Left-Back,-,"Aug 11, 1973 (30)",,"1,74m",,-,2004
33,Kairat Utabaev,Kairat-Almaty KTZ,Right-Back,-,"Jul 16, 1980 (23)",,"1,82m",both,-,2004
