,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Stas Pokatilov,Kairat Almaty,Goalkeeper,-,"Dec 8, 1992 (28)",,"1,90m",right,€1.50m,2021
1,Danil Ustimenko,Kairat Almaty,Goalkeeper,1,"Aug 8, 2000 (20)",,"1,90m",right,€400k,2021
2,Vadim Ulyanov,Kairat Almaty,Goalkeeper,30,"Oct 7, 2001 (19)",,"1,90m",right,€75k,2021
3,Nikita Pivkin,Kairat Almaty,Goalkeeper,69,"Mar 24, 2003 (17)",,"1,92m",right,€50k,2021
4,Temirlan Anarbekov,Kairat Almaty,Goalkeeper,27,"Oct 14, 2003 (17)",,"1,89m",left,-,2021
5,Rade Dugalic,Kairat Almaty,Centre-Back,-,"Nov 5, 1992 (28)",,"1,94m",right,€2.20m,2021
6,Nuraly Alip,Kairat Almaty,Centre-Back,-,"Dec 22, 1999 (21)",,"1,88m",left,€1.70m,2021
7,Macky Bagnack,Kairat Almaty,Centre-Back,3,"Jun 7, 1995 (25)",,"1,87m",both,€1.30m,2021
8,Viktor Vasin,Kairat Almaty,Centre-Back,4,"Oct 6, 1988 (32)",,"1,93m",right,€700k,2021
9,Denis Polyakov,Kairat Almaty,Centre-Back,33,"Apr 17, 1991 (29)",,"1,84m",right,€700k,2021
10,Damir Kasabulat,Kairat Almaty,Centre-Back,24,"Aug 29, 2002 (18)",,"1,82m",right,€100k,2021
11,Ravil Ibragimov,Kairat Almaty,Centre-Back,57,"Dec 25, 2000 (20)",,"1,86m",left,€100k,2021
12,Aleksandr Shirobokov,Kairat Almaty,Centre-Back,75,"Jan 2, 2003 (17)",,"1,84m",right,€75k,2021
13,Vladislav Kravchenko,Kairat Almaty,Centre-Back,64,"Apr 15, 2003 (17)",,"1,83m",left,-,2021
14,Amirali Orazbek,Kairat Almaty,Centre-Back,89,"Feb 3, 2004 (16)",,"1,81m",right,-,2021
15,Gafurzhan Suyumbaev,Kairat Almaty,Left-Back,-,"Aug 19, 1990 (30)",,"1,75m",left,€1.30m,2021
16,Yan Vorogovskiy,Kairat Almaty,Left-Back,-,"Aug 7, 1996 (24)",,"1,82m",left,€750k,2021
17,Sergey Keiler,Kairat Almaty,Left-Back,5,"Nov 8, 1994 (26)",,"1,80m",left,€300k,2021
18,Lev Kurgin,Kairat Almaty,Left-Back,-,"Jun 6, 2002 (18)",,"1,84m",left,€50k,2021
19,Arsen Azatov,Kairat Almaty,Left-Back,-,"Aug 30, 2003 (17)",,"1,80m",left,-,2021
20,Dino Mikanovic,Kairat Almaty,Right-Back,-,"May 7, 1994 (26)",,"1,74m",right,€2.00m,2021
21,Kamo Hovhannisyan,Kairat Almaty,Right-Back,13,"Oct 5, 1992 (28)",,"1,76m",right,€600k,2021
22,Sultanbek Astanov,Kairat Almaty,Right-Back,2,"Mar 23, 1999 (21)",,"1,79m",right,€300k,2021
23,Egor Tkachenko,Kairat Almaty,Right-Back,15,"Apr 15, 2003 (17)",,"1,83m",right,-,2021
24,David Ekwe,Kairat Almaty,Right-Back,25,"Oct 23, 2002 (18)",,"1,78m",right,-,2021
25,Aleksandr Mrynskiy,Kairat Almaty,Right-Back,81,"Jul 15, 2004 (16)",,"1,77m",right,-,2021
26,Jacek Goralski,Kairat Almaty,Defensive Midfield,6,"Sep 21, 1992 (28)",,"1,72m",right,€2.50m,2021
27,Aybol Abiken,Kairat Almaty,Defensive Midfield,-,"Jun 1, 1996 (24)",,"1,79m",right,€1.30m,2021
28,Rustam Emirov,Kairat Almaty,Defensive Midfield,-,"Sep 14, 2000 (20)",,"1,80m",right,€50k,2021
29,Sagi Anet,Kairat Almaty,Defensive Midfield,36,"Feb 26, 2002 (18)",,"1,69m",right,€50k,2021
30,Adilet Sadybekov,Kairat Almaty,Defensive Midfield,-,"May 26, 2002 (18)",,"1,86m",right,-,2021
31,Olzhas Baybek,Kairat Almaty,Defensive Midfield,37,"Feb 11, 2005 (15)",,"1,81m",right,-,2021
32,Nebojsa Kosovic,Kairat Almaty,Central Midfield,-,"Feb 24, 1995 (25)",,"1,77m",right,€1.30m,2021
33,Ricardo Alves,Kairat Almaty,Central Midfield,16,"Mar 25, 1993 (27)",,"1,84m",left,€900k,2021
34,Adam Adakhadzhiev,Kairat Almaty,Central Midfield,14,"Nov 23, 1998 (22)",,"1,76m",right,€250k,2021
35,Anton Krachkovskiy,Kairat Almaty,Central Midfield,20,"Jun 22, 2002 (18)",,"1,70m",right,€100k,2021
36,Andrey Ulshin,Kairat Almaty,Central Midfield,23,"Apr 18, 2000 (20)",,"1,84m",left,€100k,2021
37,Arsen Buranchiev,Kairat Almaty,Central Midfield,21,"Sep 12, 2001 (19)",,"1,82m",left,€75k,2021
38,Miras Kobeev,Kairat Almaty,Central Midfield,-,"Jun 9, 2004 (16)",,"1,71m",right,-,2021
39,Jasurbek Jaloliddinov,Kairat Almaty,Attacking Midfield,8,"May 15, 2002 (18)",,"1,71m",left,€700k,2021
40,Daniyar Usenov,Kairat Almaty,Attacking Midfield,17,"Feb 18, 2001 (19)",,"1,81m",left,€250k,2021
41,Vyacheslav Shvyrev,Kairat Almaty,Attacking Midfield,18,"Jan 7, 2001 (19)",,"1,76m",right,€200k,2021
42,Dias Kushkumbaev,Kairat Almaty,Attacking Midfield,-,"Apr 30, 2003 (17)",,"1,74m",right,-,2021
43,Gulzhigit Alykulov,Kairat Almaty,Left Winger,7,"Nov 25, 2000 (20)",,"1,69m",right,€750k,2021
44,Erkebulan Seydakhmet,Kairat Almaty,Right Winger,22,"Feb 4, 2000 (20)",,"1,78m",right,€250k,2021
45,Nurgeldy Toleukhanov,Kairat Almaty,Right Winger,-,"Nov 8, 2003 (17)",,"1,74m",right,-,2021
46,João Paulo,Kairat Almaty,Centre-Forward,11,"Jun 2, 1988 (32)",,"1,67m",right,€1.20m,2021
47,Vágner Love,Kairat Almaty,Centre-Forward,9,"Jun 11, 1984 (36)",,"1,72m",right,€1.00m,2021
48,José Kanté,Kairat Almaty,Centre-Forward,10,"Sep 27, 1990 (30)",,"1,84m",right,€1.00m,2021
49,Artur Shushenachev,Kairat Almaty,Centre-Forward,19,"Apr 7, 1998 (22)",,"1,90m",right,€450k,2021
50,Denis Mitrofanov,Kairat Almaty,Centre-Forward,35,"Jan 9, 2002 (18)",,"1,84m",right,€100k,2021
51,Aybar Abdulla,Kairat Almaty,Centre-Forward,29,"Jan 22, 2002 (18)",,"1,76m",left,€50k,2021
52,Arseniy Meleshchenko,Kairat Almaty,Centre-Forward,67,"May 12, 2002 (18)",,"1,73m",right,€25k,2021
53,Alibi Mukhit,Kairat Almaty,Centre-Forward,-,"Apr 18, 2004 (16)",,"1,75m",right,-,2021
54,Yan Trufanov,Kairat Almaty,Centre-Forward,-,"May 17, 2004 (16)",,"1,85m",right,-,2021
55,Alisher Rakhimzhanov,Kairat Almaty,Centre-Forward,47,"Dec 28, 2003 (17)",,"1,76m",right,-,2021
56,Dmitriy Nepogodov,Tobol Kostanay,Goalkeeper,23,"Feb 17, 1988 (32)",,"1,96m",left,€750k,2021
57,Timur Akmurzin,Tobol Kostanay,Goalkeeper,-,"Dec 7, 1997 (23)",,"1,89m",right,€250k,2021
58,Egor Tsuprikov,Tobol Kostanay,Goalkeeper,41,"May 27, 1997 (23)",,"1,90m",right,€200k,2021
59,Sultan Busurmanov,Tobol Kostanay,Goalkeeper,12,"May 10, 1996 (24)",,"1,86m",right,€150k,2021
60,Aleksandr Mokin,Tobol Kostanay,Goalkeeper,35,"Jun 19, 1981 (39)",,"1,94m",right,€50k,2021
61,Vladimir Shpakovskiy,Tobol Kostanay,Goalkeeper,-,"Jan 1, 2001 (19)",,"1,86m",,-,2021
62,Yuriy Melikhov,Tobol Kostanay,Goalkeeper,-,"Sep 1, 2003 (17)",,"1,82m",right,-,2021
63,Sultan Zhanseit,Tobol Kostanay,Defender,-,"Mar 29, 2003 (17)",,"1,83m",,-,2021
64,Danila Baytalenko,Tobol Kostanay,Defender,-,"Jun 11, 2006 (14)",,"1,81m",,-,2021
65,Sergey Maliy,Tobol Kostanay,Centre-Back,25,"Jun 5, 1990 (30)",,"1,91m",right,€1.20m,2021
66,Aleksa Amanovic,Tobol Kostanay,Centre-Back,45,"Oct 24, 1996 (24)",,"1,87m",left,€1.00m,2021
67,Aleksandr Marochkin,Tobol Kostanay,Centre-Back,22,"Jul 14, 1990 (30)",,"1,91m",right,€800k,2021
68,Zarko Tomasevic,Tobol Kostanay,Centre-Back,33,"Feb 22, 1990 (30)",,"1,90m",left,€500k,2021
69,Sultan Abilgazy,Tobol Kostanay,Centre-Back,21,"Feb 22, 1997 (23)",,"1,80m",right,€300k,2021
70,Daniyar Semchenkov,Tobol Kostanay,Centre-Back,5,"Feb 12, 1997 (23)",,"1,86m",right,€75k,2021
71,Aleksandr Krytsa,Tobol Kostanay,Centre-Back,-,"Aug 15, 2002 (18)",,"1,77m",left,-,2021
72,Evgeniy Kochetkov,Tobol Kostanay,Centre-Back,-,"Jan 29, 2004 (16)",,"1,77m",,-,2021
73,Vyacheslav Kulpeisov,Tobol Kostanay,Centre-Back,47,"Dec 24, 2001 (19)",,"1,75m",right,-,2021
74,Roman Asrankulov,Tobol Kostanay,Left-Back,3,"Jul 30, 1999 (21)",,"1,86m",left,€150k,2021
75,Bekzat Minaydarov,Tobol Kostanay,Left-Back,-,"Jan 21, 2003 (17)",,"1,75m",left,-,2021
76,Marat Alpisbaev,Tobol Kostanay,Left-Back,48,"Apr 8, 2002 (18)",,"1,75m",both,-,2021
77,Dmitriy Miroshnichenko,Tobol Kostanay,Right-Back,7,"Feb 26, 1992 (28)",,"1,83m",right,€1.20m,2021
78,Bagdat Kairov,Tobol Kostanay,Right-Back,24,"Apr 27, 1993 (27)",,"1,78m",right,€500k,2021
79,Arman Tungushbaev,Tobol Kostanay,Right-Back,-,"May 3, 2002 (18)",,"1,73m",right,-,2021
80,Dusan Jovancic,Tobol Kostanay,Defensive Midfield,29,"Oct 19, 1990 (30)",,"1,86m",right,€1.10m,2021
81,Timur Igubaev,Tobol Kostanay,Midfielder,-,"Sep 27, 2003 (17)",,"1,80m",,-,2021
