,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Andrey Sidelnikov,FK Aktobe,Goalkeeper,-,"Mar 8, 1980 (33)",,"1,90m",right,€200k,2014
1,Stas Pokatilov,FK Aktobe,Goalkeeper,1,"Dec 8, 1992 (21)",,"1,90m",right,€200k,2014
2,Almat Bekbaev,FK Aktobe,Goalkeeper,16,"Jul 14, 1984 (29)",,"1,94m",right,€100k,2014
3,Stanislav Pavlov,FK Aktobe,Goalkeeper,35,"May 30, 1994 (19)",,"1,93m",right,€25k,2014
4,Nurbol Zhumashev,FK Aktobe,Defender,-,"Jul 9, 1994 (19)",,"1,74m",,-,2014
5,Aleksey Muldarov,FK Aktobe,Centre-Back,-,"Apr 24, 1984 (29)",,"1,89m",right,€500k,2014
6,Dele Adeleye,FK Aktobe,Centre-Back,2,"Dec 25, 1988 (25)",,"1,89m",left,€500k,2014
7,Taras Tsarikaev,FK Aktobe,Centre-Back,6,"Jun 17, 1989 (24)",,"1,86m",right,€400k,2014
8,Robert Primus,FK Aktobe,Centre-Back,12,"Nov 10, 1990 (23)",,"1,91m",right,€400k,2014
9,Viktor Dmitrenko,FK Aktobe,Centre-Back,8,"Apr 4, 1991 (22)",,"1,90m",right,€350k,2014
10,Robert Arzumanyan,FK Aktobe,Centre-Back,-,"Jul 24, 1985 (28)",,"1,84m",right,€300k,2014
11,Sayat Zhumagali,FK Aktobe,Centre-Back,25,"Apr 25, 1995 (18)",,"1,89m",right,-,2014
12,Anderson Mineiro,FK Aktobe,Left-Back,55,"Apr 24, 1986 (27)",,"1,84m",left,€1.00m,2014
13,Dmitriy Miroshnichenko,FK Aktobe,Right-Back,7,"Feb 26, 1992 (21)",,"1,83m",right,€200k,2014
14,Petr Badlo,FK Aktobe,Right-Back,-,"May 24, 1976 (37)",,"1,78m",right,€50k,2014
15,Arturas Zulpa,FK Aktobe,Defensive Midfield,5,"Jun 10, 1990 (23)",,"1,88m",right,€325k,2014
16,Yuriy Logvinenko,FK Aktobe,Defensive Midfield,23,"Jul 22, 1988 (25)",,"1,87m",left,€300k,2014
17,Valeriy Korobkin,FK Aktobe,Defensive Midfield,3,"Jul 2, 1984 (29)",,"1,85m",right,€250k,2014
18,Timur Kapadze,FK Aktobe,Central Midfield,-,"Sep 5, 1981 (32)",,"1,85m",right,€500k,2014
19,Evgeniy Levin,FK Aktobe,Central Midfield,4,"Jul 12, 1992 (21)",,"1,74m",right,€200k,2014
20,Askhat Tagybergen,FK Aktobe,Central Midfield,17,"Aug 9, 1990 (23)",,"1,79m",right,€200k,2014
21,Aleksandr Wolf,FK Aktobe,Central Midfield,88,"Mar 16, 1993 (20)",,"1,86m",,-,2014
22,Marcos Pizzelli,FK Aktobe,Attacking Midfield,34,"Oct 3, 1984 (29)",,"1,75m",left,€3.00m,2014
23,Marat Khayrullin,FK Aktobe,Attacking Midfield,10,"Apr 26, 1984 (29)",,"1,76m",right,€300k,2014
24,Didar Zhalmukan,FK Aktobe,Left Winger,73,"May 22, 1996 (17)",,"1,73m",right,-,2014
25,Ciprian Deac,FK Aktobe,Right Winger,20,"Feb 16, 1986 (27)",,"1,77m",left,€1.20m,2014
26,Pavel Shabalin,FK Aktobe,Right Winger,29,"Oct 23, 1988 (25)",,"1,72m",right,€300k,2014
27,Rustam Sakhibov,FK Aktobe,Right Winger,33,"Apr 28, 1996 (17)",,"1,75m",right,-,2014
28,Danilo Neco,FK Aktobe,Second Striker,11,"Jan 27, 1986 (27)",,"1,75m",right,€1.00m,2014
29,Oleksiy Antonov,FK Aktobe,Centre-Forward,69,"May 8, 1986 (27)",,"1,79m",both,€1.50m,2014
30,Danilo,FK Aktobe,Centre-Forward,99,"Nov 11, 1986 (27)",,"1,86m",right,€700k,2014
31,Igor Zenkovich,FK Aktobe,Centre-Forward,-,"Sep 17, 1987 (26)",,"1,85m",right,€600k,2014
32,Sergey Khizhnichenko,FK Aktobe,Centre-Forward,91,"Jul 17, 1991 (22)",,"1,87m",right,€300k,2014
33,Abat Aymbetov,FK Aktobe,Centre-Forward,95,"Aug 7, 1995 (18)",,"1,84m",right,-,2014
34,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (31)",,"1,97m",right,€300k,2014
35,Vladimir Loginovskiy,FC Astana,Goalkeeper,85,"Oct 8, 1985 (28)",,"1,93m",right,€100k,2014
36,Denis Tolebaev,FC Astana,Goalkeeper,-,"Feb 7, 1987 (26)",,"2,05m",right,€25k,2014
37,Mikhail Golubnichiy,FC Astana,Goalkeeper,40,"Jan 31, 1995 (18)",,"1,88m",right,-,2014
38,Evgeniy Postnikov,FC Astana,Centre-Back,44,"Apr 16, 1986 (27)",,"1,89m",right,€500k,2014
