,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (35)",,"1,97m",right,€300k,2018
1,Aleksandr Mokin,FC Astana,Goalkeeper,35,"Jun 19, 1981 (36)",,"1,94m",right,€100k,2018
2,Stanislav Pavlov,FC Astana,Goalkeeper,53,"May 30, 1994 (23)",,"1,93m",right,€100k,2018
3,Danil Podymskiy,FC Astana,Goalkeeper,-,"Jun 5, 1998 (19)",,"1,90m",right,-,2018
4,Zarko Tomasevic,FC Astana,Centre-Back,6,"Feb 22, 1990 (27)",,"1,90m",left,€1.50m,2018
5,Sergey Maliy,FC Astana,Centre-Back,-,"Jun 5, 1990 (27)",,"1,91m",right,€1.00m,2018
6,Marin Anicic,FC Astana,Centre-Back,5,"Aug 17, 1989 (28)",,"1,92m",left,€900k,2018
7,Evgeniy Postnikov,FC Astana,Centre-Back,44,"Apr 16, 1986 (31)",,"1,89m",right,€600k,2018
8,Luka Simunovic,FC Astana,Centre-Back,24,"May 24, 1997 (20)",,"1,85m",right,€50k,2018
9,Tenizbay Abdurakhmanov,FC Astana,Centre-Back,-,"Jun 29, 2002 (15)",,"1,90m",right,-,2018
10,Ravil Ibragimov,FC Astana,Centre-Back,-,"Dec 25, 2000 (17)",,"1,86m",left,-,2018
11,Dmitriy Shomko,FC Astana,Left-Back,77,"Mar 19, 1990 (27)",,"1,85m",left,€2.00m,2018
12,Bakhtiyor Zaynutdinov,FC Astana,Left-Back,-,"Apr 2, 1998 (19)",,"1,83m",left,€500k,2018
13,Antonio Rukavina,FC Astana,Right-Back,2,"Jan 26, 1984 (33)",,"1,77m",right,€1.50m,2018
14,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (25)",,"1,87m",right,€800k,2018
15,Lev Skvortsov,FC Astana,Right-Back,42,"Feb 2, 2000 (17)",,"1,80m",both,-,2018
16,Yuriy Logvinenko,FC Astana,Defensive Midfield,27,"Jul 22, 1988 (29)",,"1,87m",left,€1.20m,2018
17,Ivan Maevskiy,FC Astana,Defensive Midfield,18,"May 5, 1988 (29)",,"1,90m",right,€800k,2018
18,Rúnar Már Sigurjónsson,FC Astana,Central Midfield,10,"Jun 18, 1990 (27)",,"1,78m",right,€2.00m,2018
19,Richard Almeyda,FC Astana,Central Midfield,-,"Mar 20, 1989 (28)",,"1,77m",left,€1.50m,2018
20,Yuriy Pertsukh,FC Astana,Central Midfield,28,"May 13, 1996 (21)",,"1,86m",right,€500k,2018
21,Marko Stanojevic,FC Astana,Central Midfield,-,"Jun 22, 1988 (29)",,"1,80m",right,€400k,2018
22,Madi Zhakipbaev,FC Astana,Central Midfield,21,"Mar 21, 2000 (17)",,"1,74m",right,€200k,2018
23,Sultan Sagnaev,FC Astana,Central Midfield,70,"Jan 14, 2000 (17)",,"1,72m",right,-,2018
24,Zhaslan Kairkenov,FC Astana,Central Midfield,87,"Mar 27, 2000 (17)",,"1,75m",right,-,2018
25,Serikzhan Muzhikov,FC Astana,Attacking Midfield,7,"Jun 17, 1989 (28)",,"1,69m",right,€800k,2018
26,László Kleinheisler,FC Astana,Attacking Midfield,-,"Apr 8, 1994 (23)",,"1,73m",right,€750k,2018
27,Roman Murtazaev,FC Astana,Left Winger,45,"Sep 10, 1993 (24)",,"1,88m",right,€1.00m,2018
28,Didar Zhalmukan,FC Astana,Left Winger,73,"May 22, 1996 (21)",,"1,73m",right,€700k,2018
29,Pedro Henrique,FC Astana,Right Winger,-,"Jun 16, 1990 (27)",,"1,79m",right,€3.00m,2018
30,Dorin Rotariu,FC Astana,Right Winger,9,"Jul 29, 1995 (22)",,"1,80m",left,€2.00m,2018
31,Marin Tomasov,FC Astana,Right Winger,14,"Aug 31, 1987 (30)",,"1,84m",left,€1.70m,2018
32,Firmin Mubele,FC Astana,Centre-Forward,19,"Apr 17, 1994 (23)",,"1,75m",right,€2.50m,2018
33,Junior Kabananga,FC Astana,Centre-Forward,30,"Apr 4, 1989 (28)",,"1,90m",left,€1.80m,2018
34,Djordje Despotovic,FC Astana,Centre-Forward,-,"Mar 4, 1992 (25)",,"1,90m",left,€1.00m,2018
35,Aleksey Shchetkin,FC Astana,Centre-Forward,-,"May 21, 1991 (26)",,"1,93m",right,€1.00m,2018
36,Rangelo Janga,FC Astana,Centre-Forward,32,"Apr 16, 1992 (25)",,"1,92m",right,€600k,2018
37,Sergey Khizhnichenko,FC Astana,Centre-Forward,91,"Jul 17, 1991 (26)",,"1,87m",right,€500k,2018
38,Vladislav Prokopenko,FC Astana,Centre-Forward,80,"Jul 1, 2000 (17)",,"1,80m",right,€200k,2018
39,Ramazan Karimov,FC Astana,Centre-Forward,81,"Jul 5, 1999 (18)",,"1,90m",right,-,2018
40,Dmitriy Nepogodov,Tobol Kostanay,Goalkeeper,-,"Feb 17, 1988 (29)",,"1,96m",left,€600k,2018
41,Andrey Pasechenko,Tobol Kostanay,Goalkeeper,-,"Aug 9, 1987 (30)",,"1,80m",right,€300k,2018
42,Emil Balayev,Tobol Kostanay,Goalkeeper,12,"Apr 17, 1994 (23)",,"1,89m",left,€150k,2018
43,Vyacheslav Kotlyar,Tobol Kostanay,Goalkeeper,-,"Mar 3, 1982 (35)",,"1,85m",right,€100k,2018
44,Sultan Busurmanov,Tobol Kostanay,Goalkeeper,1,"May 10, 1996 (21)",,"1,86m",right,€100k,2018
45,Zhasur Narzikulov,Tobol Kostanay,Goalkeeper,16,"Apr 13, 1984 (33)",,"1,89m",right,€100k,2018
46,Ionuț Larie,Tobol Kostanay,Centre-Back,-,"Jan 16, 1987 (30)",,"1,91m",right,€800k,2018
47,Viktor Dmitrenko,Tobol Kostanay,Centre-Back,8,"Apr 4, 1991 (26)",,"1,90m",right,€500k,2018
48,Fernander Kassaï,Tobol Kostanay,Centre-Back,4,"Jul 1, 1987 (30)",,"1,84m",right,€350k,2018
49,Aleksandr Kleshchenko,Tobol Kostanay,Centre-Back,-,"Nov 2, 1995 (22)",,"1,87m",left,€300k,2018
50,Sultan Abilgazy,Tobol Kostanay,Centre-Back,21,"Feb 22, 1997 (20)",,"1,80m",right,€150k,2018
51,Daniyar Semchenkov,Tobol Kostanay,Centre-Back,18,"Feb 12, 1997 (20)",,"1,86m",right,-,2018
52,Vytautas Andriuskevicius,Tobol Kostanay,Left-Back,25,"Oct 8, 1990 (27)",,"1,88m",left,€700k,2018
53,Grigoriy Sartakov,Tobol Kostanay,Left-Back,19,"Aug 19, 1994 (23)",,"1,85m",left,€600k,2018
54,Roman Asrankulov,Tobol Kostanay,Left-Back,-,"Jul 30, 1999 (18)",,"1,86m",left,-,2018
55,Dmitriy Miroshnichenko,Tobol Kostanay,Right-Back,7,"Feb 26, 1992 (25)",,"1,83m",right,€450k,2018
56,Marat Bystrov,Tobol Kostanay,Right-Back,-,"Jun 19, 1992 (25)",,"1,81m",right,€400k,2018
57,Timur Zhakupov,Tobol Kostanay,Right-Back,-,"Sep 6, 1995 (22)",,"1,77m",right,€300k,2018
58,Jaba Kankava,Tobol Kostanay,Defensive Midfield,20,"Mar 18, 1986 (31)",,"1,76m",both,€1.00m,2018
59,Nika Kvekveskiri,Tobol Kostanay,Defensive Midfield,10,"May 29, 1992 (25)",,"1,86m",right,€750k,2018
60,Arturas Zulpa,Tobol Kostanay,Defensive Midfield,44,"Jun 10, 1990 (27)",,"1,88m",right,€700k,2018
61,Shyngys Kazin,Tobol Kostanay,Midfielder,-,"Nov 9, 1999 (18)",,-,,-,2018
62,Aleksandr Zhukov,Tobol Kostanay,Defensive Midfield,37,"Nov 4, 1997 (20)",,"1,78m",right,-,2018
63,Aslan Darabaev,Tobol Kostanay,Central Midfield,-,"Jan 21, 1989 (28)",,"1,79m",right,€600k,2018
64,Samat Zharynbetov,Tobol Kostanay,Central Midfield,14,"Jan 4, 1994 (23)",,"1,74m",right,€200k,2018
65,Roman Ukhanov,Tobol Kostanay,Central Midfield,88,"Mar 12, 1998 (19)",,"1,79m",right,-,2018
66,Ruslan Valiullin,Tobol Kostanay,Left Midfield,17,"Sep 9, 1994 (23)",,"1,80m",left,€350k,2018
67,Nikita Bocharov,Tobol Kostanay,Attacking Midfield,69,"Jun 12, 1992 (25)",,"1,84m",right,€450k,2018
68,Nurbol Zhumaskaliev,Tobol Kostanay,Attacking Midfield,-,"May 11, 1981 (36)",,"1,76m",left,€50k,2018
69,Azat Nurgaliev,Tobol Kostanay,Left Winger,13,"Jun 30, 1986 (31)",,"1,73m",both,€500k,2018
70,Zhaslan Zhumashev,Tobol Kostanay,Left Winger,-,"Sep 27, 2001 (16)",,"1,75m",both,-,2018
71,Mikhail Gordeychuk,Tobol Kostanay,Right Winger,-,"Oct 23, 1989 (28)",,"1,76m",both,€2.20m,2018
72,Maksim Fedin,Tobol Kostanay,Right Winger,96,"Jun 8, 1996 (21)",,"1,75m",right,€250k,2018
73,Tanat Nuserbaev,Tobol Kostanay,Centre-Forward,-,"Jan 1, 1987 (30)",,"1,75m",right,€700k,2018
74,Juan Lescano,Tobol Kostanay,Centre-Forward,-,"Oct 29, 1992 (25)",,"1,88m",right,€600k,2018
75,Senin Sebai,Tobol Kostanay,Centre-Forward,23,"Dec 18, 1993 (24)",,"1,82m",right,€400k,2018
76,Zhasulan Moldakaraev,Tobol Kostanay,Centre-Forward,-,"May 7, 1987 (30)",,"1,80m",right,€350k,2018
77,Bauyrzhan Turysbek,Tobol Kostanay,Centre-Forward,15,"Oct 15, 1991 (26)",,"1,81m",right,€300k,2018
78,Roman Tuktamyshev,Tobol Kostanay,Striker,-,"Aug 24, 1999 (18)",,-,,-,2018
79,Artem Sherstov,Tobol Kostanay,Centre-Forward,46,"Oct 16, 1998 (19)",,"1,75m",right,-,2018
80,Dmitriy Nepogodov,Ordabasy Shymkent,Goalkeeper,12,"Feb 17, 1988 (29)",,"1,96m",left,€600k,2018
81,Bekkhan Shayzada,Ordabasy Shymkent,Goalkeeper,1,"Feb 28, 1998 (19)",,"1,88m",right,-,2018
82,Pablo Fontanello,Ordabasy Shymkent,Centre-Back,29,"Sep 26, 1984 (33)",,"1,93m",both,€1.50m,2018
83,Sergey Maliy,Ordabasy Shymkent,Centre-Back,25,"Jun 5, 1990 (27)",,"1,91m",right,€1.00m,2018
84,Damir Dautov,Ordabasy Shymkent,Centre-Back,5,"Mar 3, 1990 (27)",,"1,87m",right,€400k,2018
85,Temirlan Erlanov,Ordabasy Shymkent,Centre-Back,8,"Jul 9, 1993 (24)",,"1,90m",right,€300k,2018
86,Ular Zhaksybaev,Ordabasy Shymkent,Centre-Back,6,"Oct 20, 1994 (23)",,"1,80m",right,€50k,2018
87,Timur Dosmagambetov,Ordabasy Shymkent,Left-Back,27,"May 1, 1989 (28)",,"1,72m",left,€400k,2018
88,Marat Bystrov,Ordabasy Shymkent,Right-Back,19,"Jun 19, 1992 (25)",,"1,81m",right,€400k,2018
89,Talgat Adyrbekov,Ordabasy Shymkent,Right-Back,77,"Jan 26, 1989 (28)",,"1,78m",right,€200k,2018
90,Samat Shamshi,Ordabasy Shymkent,Right-Back,14,"Feb 5, 1996 (21)",,"1,78m",right,-,2018
91,Adilkhan Dobay,Ordabasy Shymkent,Right-Back,23,"Jun 2, 2002 (15)",,"1,83m",right,-,2018
92,Asludin Khadzhiev,Ordabasy Shymkent,Right-Back,28,"Oct 24, 2000 (17)",,"1,66m",right,-,2018
93,Abdoulaye Diakhate,Ordabasy Shymkent,Defensive Midfield,22,"Jan 16, 1988 (29)",,"1,81m",right,€600k,2018
94,Valeriy Korobkin,Ordabasy Shymkent,Defensive Midfield,3,"Jul 2, 1984 (33)",,"1,85m",right,€150k,2018
95,May Mahlangu,Ordabasy Shymkent,Central Midfield,7,"May 1, 1989 (28)",,"1,73m",both,€700k,2018
96,Kyrylo Kovalchuk,Ordabasy Shymkent,Central Midfield,11,"Jun 11, 1986 (31)",,"1,84m",right,€500k,2018
97,Mirzad Mehanovic,Ordabasy Shymkent,Attacking Midfield,10,"Jan 5, 1993 (24)",,"1,75m",left,€400k,2018
98,Vitaliy Lee,Ordabasy Shymkent,Left Winger,9,"Mar 13, 1994 (23)",,"1,86m",both,€300k,2018
99,Maksim Vaganov,Ordabasy Shymkent,Left Winger,18,"Aug 8, 2000 (17)",,"1,83m",,-,2018
100,Elkhan Astanov,Ordabasy Shymkent,Left Winger,33,"May 21, 2000 (17)",,"1,86m",right,-,2018
101,Ziguy Badibanga,Ordabasy Shymkent,Right Winger,39,"Nov 26, 1991 (26)",,"1,72m",right,€1.10m,2018
102,Mardan Tolebek,Ordabasy Shymkent,Right Winger,17,"Dec 18, 1990 (27)",,"1,74m",left,€650k,2018
103,Mukhit Zhaksylyk,Ordabasy Shymkent,Right Winger,-,"Feb 6, 1999 (18)",,"1,70m",right,-,2018
104,João Paulo,Ordabasy Shymkent,Centre-Forward,37,"Jun 2, 1988 (29)",,"1,67m",right,€1.30m,2018
105,Aleksey Shchetkin,Ordabasy Shymkent,Centre-Forward,99,"May 21, 1991 (26)",,"1,93m",right,€1.00m,2018
106,Toktar Zhangylyshbay,Ordabasy Shymkent,Centre-Forward,20,"May 25, 1993 (24)",,"1,89m",right,€350k,2018
107,Madizhan Aytbaev,Ordabasy Shymkent,Centre-Forward,88,"Feb 18, 1997 (20)",,"1,84m",,-,2018
108,Dzhurakhon Babakhanov,Okzhetpes Kokshetau,Goalkeeper,12,"Oct 31, 1991 (26)",,"1,90m",right,€300k,2018
