,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Bekkhan Shayzada,Ordabasy Shymkent,Goalkeeper,1,"Feb 28, 1998 (26)","1,88m",right,"Jan 1, 2018",€600k,2023
1,Karlo Sentic,Ordabasy Shymkent,Goalkeeper,12,"Jun 3, 2001 (22)","1,93m",right,"Feb 4, 2024",€450k,2023
2,Azamat Zhomartov,Ordabasy Shymkent,Goalkeeper,35,"Jul 19, 1995 (28)","1,93m",right,"Mar 30, 2024",-,2023
3,Temirlan Erlanov,Ordabasy Shymkent,Centre-Back,23,"Jul 9, 1993 (30)","1,90m",right,"Feb 24, 2023",€700k,2023
4,Sergey Maliy,Ordabasy Shymkent,Centre-Back,25,"Jun 5, 1990 (33)","1,91m",right,"Feb 24, 2023",€600k,2023
5,Igor Plastun,Ordabasy Shymkent,Centre-Back,32,"Aug 20, 1990 (33)","1,93m",right,"Feb 9, 2024",€500k,2023
6,Alikhan Uteshev,Ordabasy Shymkent,Centre-Back,16,"Jun 13, 2003 (20)","1,83m",right,"Mar 19, 2023",€25k,2023
7,Zlatan Sehovic,Ordabasy Shymkent,Left-Back,17,"Aug 8, 2000 (23)","1,80m",left,"Feb 12, 2024",€400k,2023
8,Gafurzhan Suyumbaev,Ordabasy Shymkent,Left-Back,5,"Aug 19, 1990 (33)","1,75m",left,"Feb 24, 2023",€350k,2023
9,Sagadat Tursynbay,Ordabasy Shymkent,Left-Back,13,"Mar 26, 1999 (25)","1,88m",left,"Jan 1, 2018",€250k,2023
10,Reginaldo,Ordabasy Shymkent,Right-Back,2,"Feb 22, 1993 (31)","1,74m",right,"Jan 5, 2024",€300k,2023
11,Sultanbek Astanov,Ordabasy Shymkent,Right-Back,22,"Mar 23, 1999 (25)","1,79m",right,"Mar 16, 2023",€300k,2023
12,Lovro Cvek,Ordabasy Shymkent,Defensive Midfield,4,"Jul 6, 1995 (28)","1,83m",right,"Feb 12, 2024",€1.00m,2023
13,Aybol Abiken,Ordabasy Shymkent,Defensive Midfield,6,"Jun 1, 1996 (27)","1,79m",right,"Apr 30, 2024",€500k,2023
14,Yevgen Makarenko,Ordabasy Shymkent,Defensive Midfield,19,"May 21, 1991 (33)","1,86m",left,"Jul 13, 2023",€400k,2023
15,Askhat Tagybergen,Ordabasy Shymkent,Central Midfield,8,"Aug 9, 1990 (33)","1,79m",right,"Feb 24, 2023",€900k,2023
16,Samat Zharynbetov,Ordabasy Shymkent,Central Midfield,14,"Jan 4, 1994 (30)","1,74m",right,"Jan 16, 2024",€300k,2023
17,Bauyrzhan Islamkhan,Ordabasy Shymkent,Attacking Midfield,9,"Feb 23, 1993 (31)","1,74m",right,"Feb 25, 2023",€450k,2023
18,Shakhboz Umarov,Ordabasy Shymkent,Left Winger,7,"Mar 9, 1999 (25)","1,82m",right,"Jan 19, 2023",€500k,2023
19,Jasur Yakhshiboev,Ordabasy Shymkent,Right Winger,10,"Jun 24, 1997 (26)","1,80m",both,"Feb 7, 2024",€500k,2023
20,Erkebulan Tungyshbaev,Ordabasy Shymkent,Right Winger,21,"Jan 14, 1995 (29)","1,82m",right,"Feb 24, 2023",€350k,2023
21,Maksim Fedin,Ordabasy Shymkent,Right Winger,11,"Jun 8, 1996 (27)","1,75m",right,"Jul 13, 2022",€250k,2023
22,Artem Besedin,Ordabasy Shymkent,Centre-Forward,41,"Mar 31, 1996 (28)","1,85m",right,"Jul 6, 2023",€1.00m,2023
23,Dembo Darboe,Ordabasy Shymkent,Centre-Forward,98,"Aug 17, 1998 (25)","1,87m",right,"Mar 22, 2024",€700k,2023
24,Vsevolod Sadovskiy,Ordabasy Shymkent,Centre-Forward,30,"Oct 4, 1996 (27)","1,95m",right,"Mar 16, 2022",€300k,2023
25,Mukhammedzhan Seysen,FC Astana,Goalkeeper,74,"Feb 14, 1999 (25)","1,90m",right,"Feb 17, 2024",€400k,2023
